"collection_no","record_type","authorization","release_on","formation","lng","lat","collection_name","container_no","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no"
"118950","col","","","Kimmeridge Clay","-2.064167","50.592777","Kimmeridge Bay","","Kimmeridge Bay sauropod","1","Late Kimmeridgian","","152.21","149.2","38206"
"118951","col","","","Lulworth","-2.449257","50.544842","Bower's Quarry, Portland","","","1","Middle Berriasian","","141","139.1","38206"
"118953","col","","","Lulworth","-2.438793","50.533142","Coombefield Quarry tracksite","","Portland","2","Middle Berriasian","","141","139.1","38206"
"118954","col","","","","-1.946354","50.629505","Punfield Cove","","","1","Early Aptian","","121.4","119.57","38206"
"118955","col","","","Upper Greensand","-2.901017","50.738899","Charmouth theropod","","","1","Late Albian","","106.3","100.5","38206"
"119021","col","","","Morrison","-106.920998","35.563457","McConnell I","","MCI","2","Kimmeridgian","Tithonian","154.8","143.1","13886"
"119022","col","","","Morrison","-106.920135","35.562450","McConnell II","","MCII","1","Kimmeridgian","Tithonian","154.8","143.1","38241"
"119023","col","","","Morrison","-106.929390","35.580048","Martini I","","MTI","1","Kimmeridgian","Tithonian","154.8","143.1","38241"
"119024","col","","","Morrison","-106.943817","35.571941","Cary I","","CI","1","Kimmeridgian","Tithonian","154.8","143.1","38241"
"119026","col","","","Morrison","-106.940399","35.581760","Seismosaurus Quarry III","","SSIII","1","Kimmeridgian","Tithonian","154.8","143.1","38241"
"119027","col","","","Morrison","-106.940369","35.578377","Seismosaurus Quarry II","","SSII","1","Kimmeridgian","Tithonian","154.8","143.1","38241"
"119082","col","","","A2 subunit","-0.900000","45.948002","Puy−Puy quarry","","","1","Early Cenomanian","","100.5","93.9","38251"
"119090","col","","","Morrison","-106.940399","35.581760","Cary-Kim I","","CKISSIII","1","Kimmeridgian","Tithonian","154.8","143.1","38241"
"119091","col","","","Tamayama","140.958954","37.149067","Minamizawa, Kohisa","","Iwaki","1","Late Coniacian","","89.8","85.7","54260"
"119092","col","","","Ashizawa","140.946411","37.171600","Ohisa-cho, Iwaki","","","1","Early Coniacian","","89.8","85.7","54277"
"119238","col","","","Solnhofen","10.990304","48.892746","oldest Solnhofen quarry","","ninth specimen Archaeopteryx","1","Early Tithonian","","149.2","145.06","38270"
"119505","col","","","Portland Stone","-2.445833","50.567223","Isle of Portland, Portland Stone (general)","","Portland Island","2","Late Tithonian","","145.06","143.1","31216"
"119697","col","","","Weald Clay","-1.440833","52.721390","Keymer Tile Works","","","2","Late Hauterivian","","132.6","125.77","38390"
"119896","col","","","Tranquille","-120.509720","50.127777","Quilchena","","","1","Ypresian","","56","48.07","38404"
"120036","col","","","Messel","8.750000","49.933334","Grube Messel Pit (Museum Darmstadt Collection)","","","2","MP 11","","48.07","41.03","38439"
"120363","col","","","Two Medicine","-112.329094","47.720959","MOR TM-281","","","1","Middle Campanian","","83.6","72.2","38486"
"120364","col","","","Wahweap","-111.531960","37.451607","Smokey Mountain Road, UMNH VP Loc. 525","","GS-ENM, Star Seep","1","Early Campanian","Middle Campanian","83.6","72.2","86538"
"120368","col","","","Makah","-124.531387","48.328888","Bullman Creek","","UWBM C716","2","Rupelian","","33.9","27.3","38491"
"120417","col","","","Makah","-123.755836","48.131111","Whiskey Creek","","","1","Rupelian","","33.9","27.3","38489"
"120530","col","","","Tokoro","144.066666","43.966667","Abashiri","","","1","Chattian","","27.3","23.04","38523"
"120554","col","","","","23.360001","46.470001","Cluj-Mănăștur","","Cluj-Manastur; Cluj Mănăștur","1","Lutetian","","48.07","41.03","38535"
"120576","col","","","La Meseta","-56.599998","-64.216667","DJ 153","","","1","Ypresian","","56","48.07","38549"
"120577","col","","","Higueruelas","-0.762021","39.418106","Cantera Carcalín, Buñol","","la playa fosíl","1","Tithonian","","149.2","143.1","38554"
"120798","col","","","Messel","8.750000","49.933334","Grube Messel Pit (Senckenberg SMF collection)","","","19","MP 11","","48.07","41.03","66708"
"120820","col","","","San Diego","-117.259445","32.801945","Tourmaline Road, south","","Pacific Beach","1","Pliocene","","5.333","2.58","71229"
"120821","col","","","Niguel","-117.669441","33.472778","SDSNH 3202","","","1","Zanclean","Calabrian","5.333","0.774","38584"
"120822","col","","","Fernando","-118.251099","34.052887","3rd Street tunnel","","Third Street Tunnel; USGS loc. 3426","1","Early Pliocene","","5.333","3.6","38586"
"120823","col","","","San Diego","-117.173058","32.749443","Five Points Freeway","","Washington Boulevard Freeway","6","Piacenzian","Gelasian","3.6","1.8","38587"
"120824","col","","","","-119.565559","33.257500","LACM 5541","","","1","Late Pleistocene","","0.129","0.0117","38588"
