"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"52775","91968","txn","B","","Dinosauria","","52775","unranked clade","Dinosauria","53207","14071","extant","37692"
"155998","155998","txn","IF","","Lagunculapes","","155998","genus","Lagunculapes","52775","29531","extinct","1"
"155999","155999","txn","IF","","Lagunculapes latus","","155999","species","Lagunculapes latus","155998","29531","extinct","1"
"156000","156000","txn","IF","","Xiphopeza","","156000","genus","Xiphopeza","52775","30909","extinct","3"
"156001","156001","txn","IF","","Xiphopeza triplex","","156001","species","Xiphopeza triplex","156000","30909","extinct","3"
"358782","358782","txn","","","Megalosauridae","","358782","unranked clade","Megalosauridae","52775","23721","extinct","16"
"66823","66823","txn","","","Tretospondylia","","66823","family","Tretospondylia","52775","14068","","0"
"67919","67919","txn","","","Herreravia","","67919","superorder","Herreravia","52775","10350","extinct","0"
"91056","91056","txn","I","","Yunnanpus","nomen dubium","52775","unranked clade","Dinosauria","52775","19449","extinct","1"
"91057","91057","txn","I","","Yunnanpus huangcaoensis","","91057","species","Yunnanpus huangcaoensis","91056","19449","extinct","1"
"437789","437789","txn","F","","Dongyangoolithidae","","437789","family","Dongyangoolithidae","52775","76924","extinct","3"
"437790","437790","txn","F","","Multifissoolithus","","437790","genus","Multifissoolithus","437789","76924","extinct","3"
"68506","467465","txn","F","","Multifissoolithus megadermus","","68506","species","Multifissoolithus megadermus","437790","15565","extinct","1"
"467468","467468","txn","F","","Multifissoolithus shimonosekiensis","","467468","species","Multifissoolithus shimonosekiensis","437790","83819","extinct","1"
"437791","437791","txn","F","","Multifissoolithus chianensis","","437791","species","Multifissoolithus chianensis","437790","76924","extinct","1"
"142687","142687","txn","F","","Dongyangoolithus","","142687","genus","Dongyangoolithus","437789","29323","extinct","0"
"142704","142704","txn","F","","Dongyangoolithus nanmaensis","","142704","species","Dongyangoolithus nanmaensis","142687","29323","extinct","0"
"310482","310482","txn","","","Phytophagi","","310482","unranked clade","Phytophagi","52775","34613","extinct","0"
"67913","67913","txn","","","Paleodinosauria","","67913","superorder","Paleodinosauria","52775","10350","extinct","0"
"38506","38506","txn","","","Staurikosauria","","38506","order","Staurikosauria","67913","4783","extinct","0"
"155969","155969","txn","IF","","Plectropterna","","155969","genus","Plectropterna","52775","15230","extinct","27"
"156091","156091","txn","IF","","Plectropterna lineans","","156091","species","Plectropterna lineans","155969","29531","extinct","4"
"96938","156089","txn","IF","","Plectropterna minitans","","96938","species","Plectropterna minitans","155969","51492","extinct","10"
"155977","155977","txn","IF","","Plectropterna angusta","","155977","species","Plectropterna angusta","155969","29531","extinct","2"
"155979","155979","txn","IF","","Plectropterna elegans","","155979","species","Plectropterna elegans","155969","30910","extinct","2"
"156090","156090","txn","IF","","Plectropterna gracilis","","156090","species","Plectropterna gracilis","155969","29531","extinct","6"
"155975","155975","txn","IF","","Tarsoplectrus","subjective synonym of","155969","genus","Plectropterna","52775","15230","extinct","27"
"38505","91969","txn","","","Saurischia","","38505","unranked clade","Saurischia","52775","9798","extant","29078"
"38633","91972","txn","","","Sauropodomorpha","","38633","unranked clade","Sauropodomorpha","38505","4783","extinct","4157"
"378958","378958","txn","","","Unaysauridae","","378958","unranked clade","Unaysauridae","38633","67405","extinct","4"
"243276","243276","txn","","","Jaklapallisaurus","","243276","genus","Jaklapallisaurus","378958","42497","extinct","2"
"243277","243277","txn","","","Jaklapallisaurus asymmetrica","","243277","species","Jaklapallisaurus asymmetrica","243276","42497","extinct","2"
"378959","378959","txn","","","Macrocollum","","378959","genus","Macrocollum","378958","67405","extinct","2"
"378960","378960","txn","","","Macrocollum itaquii","","378960","species","Macrocollum itaquii","378959","67405","extinct","2"
"66572","66572","txn","","","Guaibasauridae","","66572","family","Guaibasauridae","38633","13866","extinct","5"
"53364","53364","txn","","","Agnosphitys","","53364","genus","Agnosphitys","66572","7095","extinct","1"
"53365","53365","txn","","","Agnosphitys cromhallensis","","53365","species","Agnosphitys cromhallensis","53364","7095","extinct","1"
"258858","258858","txn","","","Saturnaliinae","","258858","subfamily","Saturnaliinae","66572","42426","extinct","0"
"66570","66570","txn","","","Guaibasaurus","","66570","genus","Guaibasaurus","66572","13866","extinct","3"
"66571","66571","txn","","","Guaibasaurus candelariensis","","66571","species","Guaibasaurus candelariensis","66570","13866","extinct","2"
"64391","64391","txn","","","Efraasia","","64391","genus","Efraasia","38633","17407","extinct","5"
"54997","91403","txn","","","Efraasia minor","","54997","species","Efraasia minor","64391","9279","extinct","5"
"64389","64393","txn","","","Palaeosaurus diagnosticus","subjective synonym of","54997","species","Efraasia minor","64391","26359","extinct","5"
"57411","57411","txn","","","Sellosaurus fraasi","subjective synonym of","54997","species","Efraasia minor","64391","10510","extinct","5"
"404561","404561","txn","","","Melanorosauria","","404561","infraorder","Melanorosauria","38633","70980","extinct","0"
"131584","131584","txn","IF","","Eosauropus","","131584","genus","Eosauropus","38633","39735","extinct","20"
"131585","131585","txn","IF","","Eosauropus cimarronensis","","131585","species","Eosauropus cimarronensis","131584","39735","extinct","4"
"131328","131328","txn","I","","Navahopodidae","","131328","family","Navahopodidae","38633","12171","extinct","0"
"174084","174084","txn","","","Pachysuchus","nomen dubium","38633","unranked clade","Sauropodomorpha","38633","43938","extinct","1"
"174085","174085","txn","","","Pachysuchus imperfectus","nomen dubium, species not entered","38633","unranked clade","Sauropodomorpha","174084","43938","extinct","1"
"347521","347521","txn","","","Buriolestes","","347521","genus","Buriolestes","38633","60786","extinct","1"
"347522","347522","txn","","","Buriolestes schultzi","","347522","species","Buriolestes schultzi","347521","60786","extinct","1"
"353512","353512","txn","IF","","Liujianpus","","353512","genus","Liujianpus","38633","75289","extinct","1"
"353513","353513","txn","IF","","Liujianpus shunan","","353513","species","Liujianpus shunan","353512","75289","extinct","1"
"54157","54157","txn","","","Plateosauridae","","54157","family","Plateosauridae","38633","9055","extinct","72"
"38639","38639","txn","","","Coloradia","","38639","genus","Coloradia","54157","13923","extinct","0"
"57420","57420","txn","","","Sellosauridae","subjective synonym of","54157","family","Plateosauridae","38633","10510","extinct","72"
"56593","56593","txn","","","Plateosauravus","","56593","genus","Plateosauravus","54157","29483","extinct","2"
"56591","56592","txn","","","Plateosauravus cullingworthi","","56591","species","Plateosauravus cullingworthi","56593","9818","extinct","2"
"67772","67772","txn","IF","","Navahopus","","67772","genus","Navahopus","54157","14491","extinct","4"
"67773","67773","txn","IF","","Navahopus falcipollex","","67773","species","Navahopus falcipollex","67772","14491","extinct","1"
"131329","131329","txn","I","","Navahopus coyoteensis","","131329","species","Navahopus coyoteensis","67772","27958","extinct","1"
"173567","173567","txn","","","Xixiposaurus","","173567","genus","Xixiposaurus","54157","34475","extinct","1"
"173568","173568","txn","","","Xixiposaurus suni","","173568","species","Xixiposaurus suni","173567","34475","extinct","1"
"62958","62958","txn","","","Unaysaurus","","62958","genus","Unaysaurus","54157","11929","extinct","1"
"62959","62959","txn","","","Unaysaurus tolentinoi","","62959","species","Unaysaurus tolentinoi","62958","11929","extinct","1"
"57460","57460","txn","","","Ammosauridae","subjective synonym of","54157","family","Plateosauridae","38633","62966","extinct","72"
"443778","443778","txn","","","Issi","","443778","genus","Issi","54157","78483","extinct","1"
"443779","443779","txn","","","Issi saaneq","","443779","species","Issi saaneq","443778","78483","extinct","1"
"65099","65099","txn","","","Ruehleia","","65099","genus","Ruehleia","54157","12994","extinct","1"
"65100","65100","txn","","","Ruehleia bedheimensis","","65100","species","Ruehleia bedheimensis","65099","12994","extinct","1"
"38644","38644","txn","","","Plateosaurus","","38644","genus","Plateosaurus","54157","23495","extinct","36"
"64742","65084","txn","","","Plateosaurus ingens","","64742","species","Plateosaurus ingens","38644","34081","extinct","0"
"66538","66538","txn","","","Platysaurus","subjective synonym of","38644","genus","Plateosaurus","54157","13854","extinct","36"
"57401","57401","txn","","","Plateosaurus quenstedti","nomen dubium, species not entered","38644","genus","Plateosaurus","38644","16920","extinct","2"
"57400","57400","txn","","","Plateosaurus reinigeri","nomen dubium, species not entered","38644","genus","Plateosaurus","38644","16920","extinct","1"
"57417","57418","txn","","","Plateosaurus elizae","","57417","species","Plateosaurus elizae","38644","45243","extinct","1"
"38645","38645","txn","","","Sellosaurus","subjective synonym of","38644","genus","Plateosaurus","54157","16920","extinct","36"
"56683","56683","txn","","","Plateosaurus engelhardti","","56683","species","Plateosaurus engelhardti","38644","23495","extinct","4"
"57402","57402","txn","","","Plateosaurus erlenbergiensis","","57402","species","Plateosaurus erlenbergiensis","38644","16920","extinct","1"
"54996","56596","txn","","","Plateosaurus gracilis","","54996","species","Plateosaurus gracilis","38644","16920","extinct","5"
"64685","64685","txn","","","Thecodontosaurus hermannianus","subjective synonym of","54996","species","Plateosaurus gracilis","38644","16920","extinct","5"
"64679","64679","txn","","","Plateosaurus trossingensis","","64679","species","Plateosaurus trossingensis","38644","26308","extinct","4"
"64684","64684","txn","","","Plateosaurus longiceps","","64684","species","Plateosaurus longiceps","38644","12781","extinct","2"
"64680","64680","txn","","","Plateosaurus fraasianus","subjective synonym of","64684","species","Plateosaurus longiceps","38644","29483","extinct","2"
"65096","65096","txn","","","Plateosaurus integer","subjective synonym of","64684","species","Plateosaurus longiceps","38644","12994","extinct","2"
"66746","66746","txn","","","Saturnaliidae","","66746","subfamily","Saturnaliidae","38633","42426","extinct","9"
"142533","142533","txn","","","Panphagia","","142533","genus","Panphagia","66746","29302","extinct","1"
"142534","142534","txn","","","Panphagia protos","","142534","species","Panphagia protos","142533","29302","extinct","1"
"242719","242719","txn","","","Chromogisaurus","","242719","genus","Chromogisaurus","66746","42426","extinct","1"
"242722","242722","txn","","","Chromogisaurus novasi","","242722","species","Chromogisaurus novasi","242719","42426","extinct","1"
"243372","243372","txn","","","Pampadromaeus","","243372","genus","Pampadromaeus","66746","42509","extinct","3"
"243373","243373","txn","","","Pampadromaeus barberenai","","243373","species","Pampadromaeus barberenai","243372","42509","extinct","2"
"68123","68123","txn","","","Saturnalia","","68123","genus","Saturnalia","66746","7097","extinct","3"
"68124","68124","txn","","","Saturnalia tupiniquim","","68124","species","Saturnalia tupiniquim","68123","7097","extinct","2"
"155156","155156","txn","IF","","Lavinipes","","155156","genus","Lavinipes","38633","65917","extinct","1"
"353511","353511","txn","IF","","Lavinipes cheminii","","353511","species","Lavinipes cheminii","155156","65917","extinct","1"
"65484","56590","txn","","","Euskelosaurus brownii","nomen dubium, species not entered","38633","unranked clade","Sauropodomorpha","38633","13242","extinct","6"
"117152","117152","txn","","","Pantydraco","","117152","genus","Pantydraco","38633","26660","extinct","1"
"57689","119230","txn","","","Pantydraco caducus","","57689","species","Pantydraco caducus","117152","10661","extinct","1"
"188978","188978","txn","","","Arcusaurus","","188978","genus","Arcusaurus","38633","36469","extinct","1"
"188979","188979","txn","","","Arcusaurus pereirabdalorum","","188979","species","Arcusaurus pereirabdalorum","188978","36469","extinct","1"
"181611","181611","txn","","","Massopoda","","181611","unranked clade","Massopoda","38633","35696","extinct","3749"
"181612","181612","txn","","","Riojasauridae","","181612","unranked clade","Riojasauridae","181611","35696","extinct","6"
"56613","56613","txn","","","Eucnemesaurus","","56613","genus","Eucnemesaurus","181612","14536","extinct","4"
"56614","56614","txn","","","Eucnemesaurus fortis","","56614","species","Eucnemesaurus fortis","56613","14536","extinct","3"
"55003","55003","txn","","","Aliwalia rex","subjective synonym of","56614","species","Eucnemesaurus fortis","56613","9279","extinct","3"
"55002","55002","txn","","","Aliwalia","subjective synonym of","56613","genus","Eucnemesaurus","181612","9279","extinct","4"
"327194","327194","txn","","","Eucnemesaurus entaxonis","","327194","species","Eucnemesaurus entaxonis","56613","56187","extinct","1"
"38649","38649","txn","","","Riojasaurus","","38649","genus","Riojasaurus","181612","13920","extinct","2"
"56587","56587","txn","","","Strenusaurus","subjective synonym of","38649","genus","Riojasaurus","181612","13920","extinct","2"
"56585","56585","txn","","","Riojasaurus incertus","","56585","species","Riojasaurus incertus","38649","13920","extinct","2"
"56588","56588","txn","","","Strenusaurus procerus","subjective synonym of","56585","species","Riojasaurus incertus","38649","13920","extinct","2"
"56621","56621","txn","","","Massospondylidae","","56621","family","Massospondylidae","181611","62966","extinct","121"
"117149","117149","txn","","","Glacialisaurus","","117149","genus","Glacialisaurus","56621","26326","extinct","1"
"117150","117150","txn","","","Glacialisaurus hammeri","","117150","species","Glacialisaurus hammeri","117149","26326","extinct","1"
"242728","242728","txn","","","Leyesaurus","","242728","genus","Leyesaurus","56621","42432","extinct","1"
"242729","242729","txn","","","Leyesaurus marayensis","","242729","species","Leyesaurus marayensis","242728","42432","extinct","1"
"38641","38641","txn","","","Lufengosaurus","","38641","genus","Lufengosaurus","56621","12539","extinct","28"
"64306","64306","txn","","","Lufengosaurus magnus","","64306","species","Lufengosaurus magnus","38641","63985","extinct","11"
"56597","56597","txn","","","Lufengosaurus huenei","","56597","species","Lufengosaurus huenei","38641","12539","extinct","12"
"313234","313234","txn","","","Lufengosaurus changduensis","","313234","species","Lufengosaurus changduensis","38641","46057","extinct","1"
"172910","172910","txn","","","Ignavusaurus","","172910","genus","Ignavusaurus","56621","34260","extinct","2"
"172911","172911","txn","","","Ignavusaurus rachelis","","172911","species","Ignavusaurus rachelis","172910","34260","extinct","2"
"171910","171910","txn","","","Sarahsaurus","","171910","genus","Sarahsaurus","56621","34012","extinct","2"
"171911","171911","txn","","","Sarahsaurus aurifontanalis","","171911","species","Sarahsaurus aurifontanalis","171910","34012","extinct","2"
"38642","38642","txn","","","Massospondylus","","38642","genus","Massospondylus","56621","9842","extinct","80"
"189828","189828","txn","","","Massospondylus kaalae","","189828","species","Massospondylus kaalae","38642","36501","extinct","1"
"68914","68914","txn","","","Massospondylus hislopi","","68914","species","Massospondylus hislopi","38642","18384","extinct","0"
"56595","56595","txn","","","Massospondylus carinatus","","56595","species","Massospondylus carinatus","38642","9842","extinct","11"
"68583","68583","txn","","","Coloradisaurus","","68583","genus","Coloradisaurus","56621","15136","extinct","2"
"66680","68584","txn","","","Coloradisaurus brevis","","66680","species","Coloradisaurus brevis","68583","13923","extinct","2"
"391215","391215","txn","","","Ngwevu","","391215","genus","Ngwevu","56621","69682","extinct","1"
"391216","391216","txn","","","Ngwevu intloko","","391216","species","Ngwevu intloko","391215","69682","extinct","1"
"110385","110385","txn","","","Pradhania","","110385","genus","Pradhania","56621","25610","extinct","1"
"110386","110386","txn","","","Pradhania gracilis","","110386","species","Pradhania gracilis","110385","25610","extinct","1"
"146361","146361","txn","","","Adeopapposaurus","","146361","genus","Adeopapposaurus","56621","29824","extinct","2"
"146362","146362","txn","","","Adeopapposaurus mognai","","146362","species","Adeopapposaurus mognai","146361","29824","extinct","2"
"38637","38637","txn","","","Anchisaurus","","38637","genus","Anchisaurus","181611","9053","extinct","5"
"53019","53019","txn","","","Amphisaurus","replaced by","38637","genus","Anchisaurus","181611","7819","extinct","5"
"54151","64382","txn","","","Anchisaurus polyzelus","","54151","species","Anchisaurus polyzelus","38637","30861","extinct","4"
"63763","54161","txn","","","Ammosaurus major","subjective synonym of","54151","species","Anchisaurus polyzelus","38637","10620","extinct","4"
"57619","57619","txn","","","Anchisaurus solus","subjective synonym of","54151","species","Anchisaurus polyzelus","38637","10622","extinct","4"
"63775","63775","txn","","","Anchisaurus colurus","subjective synonym of","54151","species","Anchisaurus polyzelus","38637","12251","extinct","4"
"54160","54160","txn","","","Megadactylus","replaced by","38637","genus","Anchisaurus","181611","30861","extinct","5"
"174880","174880","txn","","","Sauropodiformes","","174880","unranked clade","Sauropodiformes","181611","94132","extinct","3614"
"385703","385703","txn","","","Yizhousaurus","","385703","genus","Yizhousaurus","174880","68805","extinct","1"
"385704","385704","txn","","","Yizhousaurus sunae","","385704","species","Yizhousaurus sunae","385703","68805","extinct","1"
"377354","377354","txn","","","Ledumahadi","","377354","genus","Ledumahadi","174880","66955","extinct","1"
"377355","377355","txn","","","Ledumahadi mafube","","377355","species","Ledumahadi mafube","377354","66955","extinct","1"
"64137","64137","txn","","","Jingshanosaurus","","64137","genus","Jingshanosaurus","174880","12462","extinct","2"
"173975","173975","txn","","","Chuxiongosaurus","subjective synonym of","64137","genus","Jingshanosaurus","174880","34536","extinct","2"
"64138","64138","txn","","","Jingshanosaurus xinwaensis","","64138","species","Jingshanosaurus xinwaensis","64137","12462","extinct","2"
"173976","173976","txn","","","Chuxiongosaurus lufengensis","subjective synonym of","64138","species","Jingshanosaurus xinwaensis","64137","34536","extinct","2"
"322707","322707","txn","","","Sefapanosaurus","","322707","genus","Sefapanosaurus","174880","55582","extinct","1"
"322708","322708","txn","","","Sefapanosaurus zastronensis","","322708","species","Sefapanosaurus zastronensis","322707","55582","extinct","1"
"423007","423007","txn","","","Irisosaurus","","423007","genus","Irisosaurus","174880","72972","extinct","1"
"423008","423008","txn","","","Irisosaurus yimenensis","","423008","species","Irisosaurus yimenensis","423007","72972","extinct","1"
"157362","157362","txn","","","Aardonyx","","157362","genus","Aardonyx","174880","31154","extinct","1"
"157363","157363","txn","","","Aardonyx celestae","","157363","species","Aardonyx celestae","157362","31154","extinct","1"
"38643","38643","txn","","","Mussaurus","","38643","genus","Mussaurus","174880","13924","extinct","2"
"66682","66682","txn","","","Mussaurus patagonicus","","66682","species","Mussaurus patagonicus","38643","13924","extinct","2"
"502297","502297","txn","","","Lishulong","","502297","genus","Lishulong","174880","90508","extinct","1"
"502299","502299","txn","","","Lishulong wangi","","502299","species","Lishulong wangi","502297","90508","extinct","1"
"423027","423027","txn","","","Schleitheimia","","423027","genus","Schleitheimia","174880","72985","extinct","1"
"423028","423028","txn","","","Schleitheimia schutzi","","423028","species","Schleitheimia schutzi","423027","72985","extinct","1"
"175491","175491","txn","","","Leonerasaurus","","175491","genus","Leonerasaurus","174880","34899","extinct","1"
"175492","175492","txn","","","Leonerasaurus taquetrensis","","175492","species","Leonerasaurus taquetrensis","175491","34899","extinct","1"
"38648","38648","txn","","","Melanorosaurus","","38648","genus","Melanorosaurus","174880","9818","extinct","9"
"54980","54980","txn","","","Melanorosaurus readi","","54980","species","Melanorosaurus readi","38648","9818","extinct","3"
"457676","457676","txn","","","Roccosaurus tetrasacralis","nomen nudum, species not entered","38648","genus","Melanorosaurus","38648","17408","extinct","0"
"362058","362058","txn","","","Roccosaurus","nomen nudum","38648","genus","Melanorosaurus","38648","63574","extinct","0"
"165044","165044","txn","","","Seitaad","","165044","genus","Seitaad","174880","32331","extinct","1"
"165045","165045","txn","","","Seitaad ruessi","","165045","species","Seitaad ruessi","165044","32331","extinct","1"
"38647","38647","txn","","","Camelotia","","38647","genus","Camelotia","174880","12792","extinct","2"
"56586","56586","txn","","","Camelotia borealis","","56586","species","Camelotia borealis","38647","12792","extinct","1"
"56630","56630","txn","","","Yunnanosaurus","","56630","genus","Yunnanosaurus","174880","12539","extinct","17"
"64403","64403","txn","","","Yunnanosaurus robustus","","64403","species","Yunnanosaurus robustus","56630","43938","extinct","5"
"106244","106244","txn","","","Yunnanosaurus youngi","","106244","species","Yunnanosaurus youngi","56630","25165","extinct","1"
"56629","56629","txn","","","Yunnanosaurus huangi","","56629","species","Yunnanosaurus huangi","56630","12539","extinct","7"
"38653","95571","txn","","","Sauropoda","","38653","unranked clade","Sauropoda","174880","7803","extinct","3566"
"54167","54167","txn","","","Morosauridae","","54167","family","Morosauridae","38653","9055","extinct","0"
"64560","64560","txn","","","Pleurocoelus valdensis","nomen dubium, species not entered","38653","unranked clade","Sauropoda","38653","25118","extinct","6"
"313242","313242","txn","","","Oshanosaurus","","313242","genus","Oshanosaurus","38653","46057","extinct","0"
"313243","313243","txn","","","Oshanosaurus youngi","","313243","species","Oshanosaurus youngi","313242","46057","extinct","0"
"133909","133909","txn","","","Gravisauria","","133909","unranked clade","Gravisauria","38653","28238","extinct","2049"
"38655","38655","txn","","","Amygdalodon","","38655","genus","Amygdalodon","133909","4208","extinct","1"
"66447","66447","txn","","","Amygdalodon patagonicus","","66447","species","Amygdalodon patagonicus","38655","4208","extinct","1"
"68535","68535","txn","","","Tazoudasaurus","","68535","genus","Tazoudasaurus","133909","15118","extinct","2"
"68536","68536","txn","","","Tazoudasaurus naimi","","68536","species","Tazoudasaurus naimi","68535","15118","extinct","2"
"57437","57437","txn","","","Eusauropoda","","57437","unranked clade","Eusauropoda","133909","16727","extinct","2009"
"57439","57439","txn","","","Neosauropoda","","57439","unranked clade","Neosauropoda","57437","7881","extinct","1803"
"57362","319106","txn","","","Diplodocoidea","","57362","unranked clade","Diplodocoidea","57439","16727","extinct","415"
"53180","53180","txn","","","Amphicoelias","","53180","genus","Amphicoelias","57362","33920","extinct","3"
"231023","231023","txn","","","Amphicoelias brontodiplodocus","","231023","species","Amphicoelias brontodiplodocus","53180","41030","extinct","1"
"53181","53181","txn","","","Amphicoelias altus","","53181","species","Amphicoelias altus","53180","33920","extinct","1"
"140519","140519","txn","","","Rebbachisauroidea","subjective synonym of","57362","unranked clade","Diplodocoidea","57439","29093","extinct","415"
"38658","38658","txn","","","Haplocanthosaurus","","38658","genus","Haplocanthosaurus","57362","10486","extinct","11"
"57369","57369","txn","","","Haplocanthus","subjective synonym of","38658","genus","Haplocanthosaurus","57362","10485","extinct","11"
"66582","66582","txn","","","Haplocanthosaurus delfsi","","66582","species","Haplocanthosaurus delfsi","38658","13877","extinct","1"
"57370","64504","txn","","","Haplocanthosaurus priscus","","57370","species","Haplocanthosaurus priscus","38658","10485","extinct","2"
"64503","64503","txn","","","Haplocanthosaurus utterbacki","subjective synonym of","57370","species","Haplocanthosaurus priscus","38658","12960","extinct","2"
"63872","63872","txn","","","Diplodocimorpha","","63872","unranked clade","Diplodocimorpha","57362","16726","extinct","393"
"57365","381047","txn","","","Rebbachisauridae","","57365","unranked clade","Rebbachisauridae","63872","16629","extinct","76"
"68179","68179","txn","","","Histriasaurus","","68179","genus","Histriasaurus","57365","7449","extinct","1"
"68180","68180","txn","","","Histriasaurus boscarollii","","68180","species","Histriasaurus boscarollii","68179","7449","extinct","1"
"111394","111394","txn","","","Xenoposeidon","","111394","genus","Xenoposeidon","57365","25840","extinct","1"
"111395","111395","txn","","","Xenoposeidon proneneukos","","111395","species","Xenoposeidon proneneukos","111394","25840","extinct","1"
"481295","481295","txn","","","Sidersaura","","481295","genus","Sidersaura","57365","87060","extinct","2"
"481296","481296","txn","","","Sidersaura marae","","481296","species","Sidersaura marae","481295","87060","extinct","2"
"89456","89456","txn","","","Zapalasaurus","","89456","genus","Zapalasaurus","57365","19193","extinct","1"
"89457","89457","txn","","","Zapalasaurus bonapartei","","89457","species","Zapalasaurus bonapartei","89456","19193","extinct","1"
"378233","378233","txn","","","Maraapunisaurus","","378233","genus","Maraapunisaurus","57365","67166","extinct","1"
"54196","378234","txn","","","Maraapunisaurus fragillimus","","54196","species","Maraapunisaurus fragillimus","378233","4411","extinct","1"
"496269","496269","txn","","","Campananeyen","","496269","genus","Campananeyen","57365","89226","extinct","1"
"496270","496270","txn","","","Campananeyen fragilissimus","","496270","species","Campananeyen fragilissimus","496269","89226","extinct","1"
"57368","57368","txn","","","Rayososaurus","","57368","genus","Rayososaurus","57365","16547","extinct","1"
"71351","71351","txn","","","Rayososaurus agrioensis","","71351","species","Rayososaurus agrioensis","57368","16547","extinct","1"
"89458","89458","txn","","","Amazonsaurus","","89458","genus","Amazonsaurus","57365","19194","extinct","1"
"89459","89459","txn","","","Amazonsaurus maranhensis","","89459","species","Amazonsaurus maranhensis","89458","19194","extinct","1"
"515930","515930","txn","","","Astigmasaura","","515930","genus","Astigmasaura","57365","93303","extinct","1"
"515931","515931","txn","","","Astigmasaura genuflexa","","515931","species","Astigmasaura genuflexa","515930","93303","extinct","1"
"251279","251279","txn","","","Comahuesaurus","","251279","genus","Comahuesaurus","57365","43621","extinct","1"
"251280","251280","txn","","","Comahuesaurus windhauseni","","251280","species","Comahuesaurus windhauseni","251279","43621","extinct","1"
"66565","66565","txn","","","Agustinia","","66565","genus","Agustinia","57365","13862","extinct","1"
"66567","66567","txn","","","Agustinia ligabuei","","66567","species","Agustinia ligabuei","66565","13862","extinct","1"
"282473","282473","txn","","","Katepensaurus","","282473","genus","Katepensaurus","57365","48949","extinct","1"
"282474","282474","txn","","","Katepensaurus goicoecheai","","282474","species","Katepensaurus goicoecheai","282473","48949","extinct","1"
"378458","378458","txn","","","Lavocatisaurus","","378458","genus","Lavocatisaurus","57365","67253","extinct","1"
"378459","378459","txn","","","Lavocatisaurus agrioensis","","378459","species","Lavocatisaurus agrioensis","378458","67253","extinct","1"
"507183","507183","txn","","","Cienciargentina","","507183","genus","Cienciargentina","57365","91812","extinct","1"
"507184","507184","txn","","","Cienciargentina sanchezi","","507184","species","Cienciargentina sanchezi","507183","91812","extinct","1"
"322720","322720","txn","","","Khebbashia","","322720","unranked clade","Khebbashia","57365","55591","extinct","45"
"243718","243718","txn","","","Limaysaurinae","","243718","unranked clade","Limaysaurinae","322720","43710","extinct","9"
"63871","63871","txn","","","Limaysaurus","","63871","genus","Limaysaurus","243718","12292","extinct","6"
"63873","63874","txn","","","Limaysaurus tessonei","","63873","species","Limaysaurus tessonei","63871","16726","extinct","6"
"89494","89494","txn","","","Cathartesaura","","89494","genus","Cathartesaura","243718","19213","extinct","1"
"89495","89495","txn","","","Cathartesaura anaerobica","","89495","species","Cathartesaura anaerobica","89494","19213","extinct","1"
"230971","230971","txn","","","Nigersaurinae","","230971","unranked clade","Nigersaurinae","322720","43710","extinct","1"
"322714","322714","txn","","","Rebbachisaurinae","","322714","unranked clade","Rebbachisaurinae","322720","55590","extinct","34"
"57366","57366","txn","","","Nigersaurus","","57366","genus","Nigersaurus","322714","10484","extinct","3"
"57367","57367","txn","","","Nigersaurus taqueti","","57367","species","Nigersaurus taqueti","57366","10484","extinct","3"
"273396","273396","txn","","","Tataouinea","","273396","genus","Tataouinea","322714","47523","extinct","1"
"273397","273397","txn","","","Tataouinea hannibalis","","273397","species","Tataouinea hannibalis","273396","47523","extinct","1"
"38679","38679","txn","","","Rebbachisaurus","","38679","genus","Rebbachisaurus","322714","29347","extinct","5"
"65368","65368","txn","","","Rebbachisaurus garasbae","","65368","species","Rebbachisaurus garasbae","38679","29347","extinct","4"
"202269","202269","txn","","","Demandasaurus","","202269","genus","Demandasaurus","322714","37926","extinct","2"
"202270","202270","txn","","","Demandasaurus darwini","","202270","species","Demandasaurus darwini","202269","37926","extinct","2"
"63792","63792","txn","","","Rebbachisaurus tamesnensis","nomen dubium, species not entered","322714","unranked clade","Rebbachisaurinae","322714","45858","extinct","21"
"390654","390654","txn","","","Itapeuasaurus","","390654","genus","Itapeuasaurus","322714","69634","extinct","1"
"390655","390655","txn","","","Itapeuasaurus cajapioensis","","390655","species","Itapeuasaurus cajapioensis","390654","69634","extinct","1"
"140520","140520","txn","","","Nopcsaspondylus","","140520","genus","Nopcsaspondylus","322720","29093","extinct","1"
"140521","140521","txn","","","Nopcsaspondylus alarconensis","","140521","species","Nopcsaspondylus alarconensis","140520","29093","extinct","1"
"57361","57361","txn","","","Flagellicaudata","","57361","unranked clade","Flagellicaudata","63872","10483","extinct","316"
"38667","38667","txn","","","Cetiosauriscus","","38667","genus","Cetiosauriscus","57361","16915","extinct","1"
"67741","67741","txn","","","Cetiosauriscus stewarti","","67741","species","Cetiosauriscus stewarti","38667","14481","extinct","1"
"38664","319108","txn","","","Diplodocidae","","38664","unranked clade","Diplodocidae","57361","10626","extinct","271"
"66543","66543","txn","","","Apatosaurinae","","66543","subfamily","Apatosaurinae","38664","12585","extinct","95"
"52966","52966","txn","","","Atlantosaurus immanis","nomen dubium, species not entered","66543","subfamily","Apatosaurinae","66543","7813","extinct","1"
