"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","reference_no","is_extant","n_occs"
"372081","372082","txn","","","Vireo altiloquus","","372081","species","Vireo altiloquus","368484","65172","extant","3"
"372382","372383","txn","","","Vireo crassirostris","","372382","species","Vireo crassirostris","368484","65172","extant","2"
"139264","139264","txn","","","Rhinocryptidae","","139264","family","Rhinocryptidae","39441","28964","extant","0"
"139263","139263","txn","","","Pteroptochos","","139263","genus","Pteroptochos","139264","28964","extant","0"
"139267","139267","txn","","","Pteroptochos megapodius","","139267","species","Pteroptochos megapodius","139263","28964","extant","0"
"139277","139277","txn","","","Leptonyx macropus","subjective synonym of","139267","species","Pteroptochos megapodius","139263","28964","extant","0"
"139268","139268","txn","","","Pteroptochos castaneus","","139268","species","Pteroptochos castaneus","139263","28964","extant","0"
"139269","139269","txn","","","Hylactes","subjective synonym of","139263","genus","Pteroptochos","139264","28964","extant","0"
"139270","139273","txn","","","Pteroptochos tarnii","","139270","species","Pteroptochos tarnii","139263","28964","extant","0"
"99400","99400","txn","","","Leptonyx","subjective synonym of","139263","genus","Pteroptochos","139264","24206","extant","0"
"139274","139274","txn","","","Scelorchilus","","139274","genus","Scelorchilus","139264","28964","extant","0"
