occurrence_no,collection_no,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
41524,3257,Aves,class,Early Eocene,Middle Eocene,56.0,37.71
41580,3256,Aves,class,Early Eocene,Middle Eocene,56.0,37.71
130209,10755,Chaoyangsaurus youngi,species,Late Kimmeridgian,Valanginian,152.21,132.6
130294,10764,Protarchaeopteryx robusta,species,Late Barremian,Early Aptian,125.77,119.57
130295,10764,Caudipteryx zoui,species,Late Barremian,Early Aptian,125.77,119.57
138867,22634,Dinosauria,unranked clade,Berriasian,Aptian,143.1,113.2
139242,11890,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139249,11892,Hadrosauridae,family,Late Campanian,,83.6,72.2
139250,11893,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139251,11894,Centrosaurus apertus,species,Late Campanian,,83.6,72.2
139252,11895,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139253,11896,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139254,11897,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
139255,11898,Albertosaurus sarcophagus,species,Late Maastrichtian,,72.2,66.0
139256,11899,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139257,11900,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139258,11901,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139259,11902,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139260,11604,Isisaurus colberti,species,Maastrichtian,,72.2,66.0
139261,11903,Daspletosaurus torosus,species,Late Campanian,,83.6,72.2
139290,11915,Daspletosaurus torosus,species,Middle Campanian,,83.6,72.2
139291,11916,Albertosaurus sarcophagus,species,Early Maastrichtian,,72.2,66.0
139292,11917,Tyrannosaurus rex,species,Late Maastrichtian,,72.2,66.0
139293,11918,Tyrannosaurus rex,species,Late Maastrichtian,,72.2,66.0
139294,11919,Gryposaurus notabilis,species,Late Campanian,,83.6,72.2
139295,11920,Theropoda,unranked clade,Hettangian,Sinemurian,201.4,192.9
139306,11923,Amygdalodon patagonicus,species,Pliensbachian,Early Toarcian,192.9,182.9
139307,11924,Camarasaurus grandis,species,Kimmeridgian,Tithonian,154.8,143.1
139308,11925,Camarasaurus supremus,species,Kimmeridgian,,154.8,149.2
139340,11931,Ankylosaurus magniventris,species,Late Maastrichtian,,72.2,66.0
139341,11932,Titanosauriformes,unranked clade,Late Aptian,Early Albian,119.57,110.1
144305,10760,Saurornitholestes,genus,Early Maastrichtian,,72.2,66.0
144307,12584,Bistahieversor sealeyi,species,Late Campanian,,83.6,72.2
144308,12585,Theropoda,unranked clade,Puaroan,,150.0,143.1
147092,12977,Pachycephalosaurus wyomingensis,species,Maastrichtian,,72.2,66.0
147093,12977,Hadrosauridae,family,Maastrichtian,,72.2,66.0
148500,13105,Sonorasaurus thompsoni,species,Late Albian,Early Cenomanian,106.3,93.9
148510,13106,Vegaviidae,unranked clade,Late Maastrichtian,,72.2,66.0
148628,13108,Mononykus olecranus,species,Maastrichtian,,72.2,66.0
148629,13108,Tarbosaurus bataar,species,Maastrichtian,,72.2,66.0
148633,13110,Dinosauria,unranked clade,Cretaceous,,143.1,66.0
149585,13209,Lithostrotia,unranked clade,Campanian,,83.6,72.2
149586,13210,Carnosauria,infraorder,Late Maastrichtian,,72.2,66.0
149592,13212,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1
149596,13214,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1
149597,13214,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1
149598,13214,Diplodocus,genus,Kimmeridgian,Tithonian,154.8,143.1
149599,13214,Stegosaurus,genus,Kimmeridgian,Tithonian,154.8,143.1
149600,13214,Camarasaurus grandis,species,Kimmeridgian,Tithonian,154.8,143.1
149601,13214,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1
149611,13218,Hadrosauroidea,unranked clade,Late Maastrichtian,,72.2,66.0
149834,13263,Theropoda,unranked clade,Rhaetian,Hettangian,205.7,199.5
149835,13264,Ornimegalonyx oteroi,species,Pleistocene,,2.58,0.0117
149854,13267,Ornithopoda,unranked clade,Late Barremian,Early Aptian,125.77,119.57
149859,13268,Theropoda,unranked clade,Late Barremian,Early Aptian,125.77,119.57
149860,13268,Hypsilophodon,genus,Late Barremian,Early Aptian,125.77,119.57
149866,13271,Lewisuchus admixtus,species,Ladinian,,241.464,237.0
149981,13279,Scutellosaurus lawleri,species,Sinemurian,Pliensbachian,199.5,184.2
149982,13280,Scutellosaurus lawleri,species,Sinemurian,Pliensbachian,199.5,184.2
149983,13281,Orodromeus makelai,species,Middle Campanian,,83.6,72.2
149984,13282,Lambeosaurinae,subfamily,Late Campanian,,83.6,72.2
149987,13284,Goyocephale lattimorei,species,Santonian,Maastrichtian,85.7,66.0
149988,13285,Efraasia minor,species,Norian,,227.3,205.7
149989,13286,Tethyshadros insularis,species,Early Campanian,Middle Campanian,83.6,72.2
150084,13294,Dinosauria,unranked clade,Late Maastrichtian,,72.2,66.0
150093,18597,Anhinga subvolans,species,Hemingfordian,,18.5,16.3
150094,18597,Promilio floridanus,species,Hemingfordian,,18.5,16.3
150133,13296,Buteo fluviaticus,species,Orellan,,33.9,31.8
150135,13298,Primapus lacki,species,Ypresian,,56.0,48.07
150136,13299,Primapus lacki,species,Ypresian,,56.0,48.07
150137,13300,Miomancalla wetmorei,species,Tortonian,,11.63,7.246
150138,13301,Ichthyornis dispar,species,Early Coniacian,Santonian,89.8,83.6
150139,13301,Hesperornis,genus,Early Coniacian,Santonian,89.8,83.6
150155,13309,Neogaeornis wetzeli,species,Late Maastrichtian,,72.2,66.0
150156,13312,Alexornis antecedens,species,Santonian,,85.7,83.6
150157,13306,Yacoraitichnus avis,species,Late Maastrichtian,,72.2,66.0
150158,13308,Patagonichnornis venetiorum,species,Late Campanian,Early Maastrichtian,83.6,66.0
150159,13313,Emuarius gidju,species,Late Oligocene,Early Miocene,27.3,15.98
150160,13314,Dromaius,genus,Middle Miocene,,15.98,11.63
150161,13315,Dromaius,genus,Late Miocene,,11.63,5.333
150162,13316,Dromaius ocypus,species,Pliocene,,5.333,2.58
150163,13317,Dromaius novaehollandiae,species,Zanclean,,5.333,3.6
150164,13317,Dromaius,genus,Zanclean,,5.333,3.6
150165,13316,Dromaius ocypus,species,Pliocene,,5.333,2.58
150166,13318,Dromaius novaehollandiae,species,Early Pliocene,,5.333,3.6
150167,13319,Dromaius,genus,Late Pleistocene,,0.129,0.0117
150168,13320,Lithornis vulturinus,species,Early Eocene,,56.0,48.07
150169,13321,Paracathartes howardae,species,Early Eocene,,56.0,48.07
150170,13322,Eocathartes robustus,species,Lutetian,,48.07,41.03
150171,13323,Bathornis grallator,species,Uintan,,45.9,39.7
150172,13324,Diatropornis,genus,Late Eocene,Early Oligocene,37.71,27.3
150173,13325,Plesiocathartes europaeus,species,Late Eocene,Early Oligocene,37.71,27.3
150174,13326,Massospondylus carinatus,species,Hettangian,Sinemurian,201.4,192.9
150175,13326,Massospondylus,genus,Hettangian,Sinemurian,201.4,192.9
150238,13331,Megaloolithus siruguei,species,Early Maastrichtian,,72.2,66.0
150239,13332,Titanosauridae,family,Maastrichtian,,72.2,66.0
150240,13333,Amargasaurus cazaui,species,Barremian,,125.77,121.4
150241,13334,Telmatosaurus transsylvanicus,species,Early Maastrichtian,,72.2,66.0
150242,13335,Owenodon,genus,Berriasian,,143.1,137.05
150246,13335,Theropoda,unranked clade,Berriasian,,143.1,137.05
150247,13335,Ankylosauria,unranked clade,Berriasian,,143.1,137.05
150248,13335,Owenodon,genus,Berriasian,,143.1,137.05
150249,13335,Iguanodontia,unranked clade,Berriasian,,143.1,137.05
150255,13336,Dinosauria,unranked clade,Early Albian,,113.2,110.1
150309,13339,Styracosaurus albertensis,species,Late Campanian,,83.6,72.2
150310,13340,Centrosaurus apertus,species,Campanian,,83.6,72.2
150311,13341,Apatosaurus louisae,species,Kimmeridgian,Tithonian,154.8,143.1
150312,13342,Dinosauria,unranked clade,Kimmeridgian,,154.8,149.2
150313,13343,Hispanosauropus hauboldi,species,Kimmeridgian,,154.8,149.2
150314,13342,Hispanosauropus hauboldi,species,Kimmeridgian,,154.8,149.2
150318,13345,Dinosauria,unranked clade,Late Albian,Early Turonian,106.3,89.8
150324,13347,Macroolithus rugustus,species,Maastrichtian,,72.2,66.0
150326,13349,Macroolithus rugustus,species,Maastrichtian,,72.2,66.0
150327,13350,Paraspheroolithus irenensis,species,Cenomanian,Santonian,100.5,83.6
150328,13351,Dinosauria,unranked clade,Late Cretaceous,,100.5,66.0
150350,13352,Diplodocus carnegii,species,Kimmeridgian,Tithonian,154.8,143.1
150610,13366,Ornithopoda,unranked clade,Maastrichtian,,72.2,66.0
150847,13305,Patagopteryx deferrariisi,species,Santonian,,85.7,83.6
150848,13305,Neuquenornis volans,species,Santonian,,85.7,83.6
150849,13409,Dilophosaurus wetherilli,species,Sinemurian,Pliensbachian,199.5,184.2
150850,13410,Dilophosaurus wetherilli,species,Sinemurian,Pliensbachian,199.5,184.2
150851,13411,Graciliceratops mongoliensis,species,Cenomanian,Santonian,100.5,83.6
150852,13411,Ankylosauridae,family,Cenomanian,Santonian,100.5,83.6
150853,13411,Ornithomimidae,family,Cenomanian,Santonian,100.5,83.6
150854,13411,Theropoda,unranked clade,Cenomanian,Santonian,100.5,83.6
150855,13411,Hadrosauridae,family,Cenomanian,Santonian,100.5,83.6
154631,13738,Aves,class,Holocene,,0.0117,0.0
154974,13776,Ankylosauridae,family,Middle Campanian,Late Campanian,83.6,72.2
154975,13777,Bagaceratops rozhdestvenskyi,species,Middle Campanian,Late Campanian,83.6,72.2
154986,13776,Gobipteryx minuta,species,Middle Campanian,Late Campanian,83.6,72.2
154987,13776,Dendroolithus,genus,Middle Campanian,Late Campanian,83.6,72.2
162544,14404,Eolambia caroljonesa,species,Early Cenomanian,,100.5,93.9
212043,21294,Aves,class,Calabrian,,1.8,0.774
212060,21300,Aves,class,Gelasian,,2.58,1.8
212166,21332,Aves,class,Messinian,Piacenzian,7.246,2.58
213455,21802,Numida,genus,Piacenzian,,3.6,2.58
213503,21824,Phasianidae,family,Early Pleistocene,,2.58,0.774
213553,21855,Accipitridae,family,Middle Miocene,,15.98,11.63
213563,21855,Struthionidae,family,Middle Miocene,,15.98,11.63
213564,21855,Phasianidae,family,Middle Miocene,,15.98,11.63
213633,21857,Aves,class,Pleistocene,Holocene,2.58,0.0
213652,21858,Struthio camelus,species,Holocene,,0.0117,0.0
213681,21861,Struthio camelus,species,Holocene,,0.0117,0.0
213690,21862,Columbidae,family,Holocene,,0.0117,0.0
213724,21878,Struthio camelus,species,Holocene,,0.0117,0.0
213748,21886,Platalea leucorodia,species,Pleistocene,,2.58,0.0117
213749,21886,Anas acuta,species,Pleistocene,,2.58,0.0117
213750,21886,Ardea cinerea,species,Pleistocene,,2.58,0.0117
213751,21886,Anas crecca,species,Pleistocene,,2.58,0.0117
213765,21888,Platalea leucorodia,species,Pleistocene,,2.58,0.0117
213766,21888,Anas acuta,species,Pleistocene,,2.58,0.0117
213769,21888,Phalacrocorax carbo,species,Pleistocene,,2.58,0.0117
213770,21888,Ardea cinerea,species,Pleistocene,,2.58,0.0117
213771,21888,Phoenicopterus roseus,species,Pleistocene,,2.58,0.0117
213772,21888,Plectropterus gambensis,species,Pleistocene,,2.58,0.0117
213773,21888,Anser albifrons,species,Pleistocene,,2.58,0.0117
213774,21888,Anser fabalis,species,Pleistocene,,2.58,0.0117
213775,21888,Branta bernicla,species,Pleistocene,,2.58,0.0117
213776,21888,Tadorna ferruginea,species,Pleistocene,,2.58,0.0117
213777,21888,Anas platyrhynchos,species,Pleistocene,,2.58,0.0117
213778,21888,Mareca penelope,species,Pleistocene,,2.58,0.0117
213779,21888,Aythya ferina,species,Pleistocene,,2.58,0.0117
213780,21888,Mergus merganser,species,Pleistocene,,2.58,0.0117
213781,21888,Mergus serrator,species,Pleistocene,,2.58,0.0117
213782,21888,Mergellus albellus,species,Pleistocene,,2.58,0.0117
213783,21888,Milvus migrans,species,Pleistocene,,2.58,0.0117
213784,21888,Pandion haliaetus,species,Pleistocene,,2.58,0.0117
213786,21888,Numenius arquata,species,Pleistocene,,2.58,0.0117
213787,21888,Anas crecca,species,Pleistocene,,2.58,0.0117
213795,21890,Aquila chrysaetos,species,Pleistocene,,2.58,0.0117
213815,21892,Platalea leucorodia,species,Pleistocene,,2.58,0.0117
213817,21892,Anas platyrhynchos,species,Pleistocene,,2.58,0.0117
213818,21892,Grus grus,species,Pleistocene,,2.58,0.0117
213870,21896,Struthio camelus,species,Holocene,,0.0117,0.0
213918,21903,Streptopelia,genus,Holocene,,0.0117,0.0
213952,21907,Struthio camelus,species,Holocene,,0.0117,0.0
213992,21914,Struthio camelus,species,Holocene,,0.0117,0.0
214038,21920,Struthio camelus,species,Pleistocene,,2.58,0.0117
214097,21930,Aves,class,Holocene,,0.0117,0.0
214199,21953,Struthio camelus,species,Pleistocene,,2.58,0.0117
214202,21953,Francolinus,genus,Pleistocene,,2.58,0.0117
214277,21970,Aves,class,Calabrian,,1.8,0.774
214317,21973,Struthio,genus,Gelasian,Calabrian,2.58,0.774
214330,21974,Aves,class,Gelasian,Calabrian,2.58,0.774
216772,22041,Struthio,genus,Calabrian,,1.8,0.774
216773,22041,Aves,class,Calabrian,,1.8,0.774
216823,22064,Struthio,genus,Calabrian,,1.8,0.774
216824,22064,Aves,class,Calabrian,,1.8,0.774
216842,22066,Struthio camelus,species,Late Pleistocene,,0.129,0.0117
216845,22068,Struthio camelus,species,Holocene,,0.0117,0.0
216894,22073,Peliperdix lathami,species,Holocene,,0.0117,0.0
216898,22074,Struthio camelus,species,Pleistocene,Holocene,2.58,0.0
216899,22074,Francolinus,genus,Pleistocene,Holocene,2.58,0.0
216900,22074,Aves,class,Pleistocene,Holocene,2.58,0.0
216903,22074,Caprimulgus,genus,Pleistocene,Holocene,2.58,0.0
216904,22074,Columba,genus,Pleistocene,Holocene,2.58,0.0
216905,22074,Columbidae,family,Pleistocene,Holocene,2.58,0.0
217223,22148,Aves,class,Miocene,Pliocene,23.04,2.58
217477,22188,Struthio camelus,species,Pleistocene,Holocene,2.58,0.0
217575,22219,Pelecaniformes,order,Late Miocene,,11.63,5.333
217578,22219,Dege hendeyi,species,Late Miocene,,11.63,5.333
217596,22220,Struthio,genus,Miocene,Pliocene,23.04,2.58
217620,22221,Struthio,genus,Zanclean,,5.333,3.6
217621,22221,Accipitridae,family,Zanclean,,5.333,3.6
217624,22221,Aves,class,Zanclean,,5.333,3.6
217632,22221,Phasianidae,family,Zanclean,,5.333,3.6
217637,22221,Puffinus,genus,Zanclean,,5.333,3.6
217638,22221,Anatidae,family,Zanclean,,5.333,3.6
217640,22221,Passeriformes,order,Zanclean,,5.333,3.6
217641,22221,Gruidae,family,Zanclean,,5.333,3.6
217643,22221,Columbidae,family,Zanclean,,5.333,3.6
217645,22221,Inguza predemersus,species,Zanclean,,5.333,3.6
217651,22221,Ciconiidae,family,Zanclean,,5.333,3.6
217660,22221,Pachyptila salax,species,Zanclean,,5.333,3.6
217661,22221,Procellariiformes,unranked clade,Zanclean,,5.333,3.6
217662,22221,Rallidae,family,Zanclean,,5.333,3.6
217670,22221,Oceanites zaloscarthmus,species,Zanclean,,5.333,3.6
217673,22221,Psittaciformes,order,Zanclean,,5.333,3.6
217688,22222,Aves,class,Zanclean,,5.333,3.6
217694,22222,Phasianidae,family,Zanclean,,5.333,3.6
217704,22222,Inguza predemersus,species,Zanclean,,5.333,3.6
217711,22222,Pachyptila salax,species,Zanclean,,5.333,3.6
217716,22222,Oceanites zaloscarthmus,species,Zanclean,,5.333,3.6
217718,22222,Struthio,genus,Zanclean,,5.333,3.6
217719,22222,Apodidae,family,Zanclean,,5.333,3.6
217720,22222,Pachyptila,genus,Zanclean,,5.333,3.6
217721,22222,Geronticus,genus,Zanclean,,5.333,3.6
217943,22236,Anseriformes,order,Tortonian,Zanclean,11.63,3.6
217959,22237,Struthio,genus,Messinian,Piacenzian,7.246,2.58
218056,22243,Struthio,genus,Tortonian,Messinian,11.63,5.333
218283,22272,Struthio,genus,Middle Pleistocene,Late Pleistocene,0.774,0.0117
218614,22316,Aves,class,Messinian,,7.246,5.333
218736,22337,Aves,class,Calabrian,,1.8,0.774
218789,22342,Aves,class,Gelasian,Calabrian,2.58,0.774
219055,22464,Struthio,genus,Calabrian,,1.8,0.774
219061,22477,Aves,class,Pliocene,,5.333,2.58
219311,22506,Anserinae,subfamily,Piacenzian,,3.6,2.58
219312,22506,Anhinga melanogaster,species,Piacenzian,,3.6,2.58
219352,22508,Anas acuta,species,Pleistocene,,2.58,0.0117
219354,22508,Ardea cinerea,species,Pleistocene,,2.58,0.0117
219355,22508,Anser fabalis,species,Pleistocene,,2.58,0.0117
219356,22508,Tadorna ferruginea,species,Pleistocene,,2.58,0.0117
219357,22508,Anas platyrhynchos,species,Pleistocene,,2.58,0.0117
219358,22508,Mareca penelope,species,Pleistocene,,2.58,0.0117
219359,22508,Aythya ferina,species,Pleistocene,,2.58,0.0117
219360,22508,Mergus merganser,species,Pleistocene,,2.58,0.0117
219361,22508,Pandion haliaetus,species,Pleistocene,,2.58,0.0117
219362,22508,Anas crecca,species,Pleistocene,,2.58,0.0117
219363,22508,Anas,genus,Pleistocene,,2.58,0.0117
219375,22512,Platalea leucorodia,species,Pleistocene,,2.58,0.0117
219382,22513,Ardea cinerea,species,Pleistocene,,2.58,0.0117
219383,22513,Anas crecca,species,Pleistocene,,2.58,0.0117
219392,22516,Anas acuta,species,Pleistocene,,2.58,0.0117
219430,22531,Aquila chrysaetos,species,Pleistocene,,2.58,0.0117
219445,22534,Platalea leucorodia,species,Pleistocene,Holocene,2.58,0.0
219457,22536,Anas platyrhynchos,species,Pleistocene,Holocene,2.58,0.0
219467,22538,Grus grus,species,Pleistocene,Holocene,2.58,0.0
219473,22539,Anser albifrons,species,Pleistocene,Holocene,2.58,0.0
219498,22544,Anas acuta,species,Pleistocene,,2.58,0.0117
219501,22544,Phalacrocorax carbo,species,Pleistocene,,2.58,0.0117
219502,22544,Ardea cinerea,species,Pleistocene,,2.58,0.0117
219503,22544,Phoenicopterus roseus,species,Pleistocene,,2.58,0.0117
219504,22544,Anas platyrhynchos,species,Pleistocene,,2.58,0.0117
219505,22544,Mareca penelope,species,Pleistocene,,2.58,0.0117
219506,22544,Mergus serrator,species,Pleistocene,,2.58,0.0117
219507,22544,Mergellus albellus,species,Pleistocene,,2.58,0.0117
219508,22544,Milvus migrans,species,Pleistocene,,2.58,0.0117
219509,22544,Anas crecca,species,Pleistocene,,2.58,0.0117
219510,22544,Plectropterus gambensis,species,Pleistocene,,2.58,0.0117
219511,22544,Anas,genus,Pleistocene,,2.58,0.0117
219517,22545,Platalea leucorodia,species,Pleistocene,,2.58,0.0117
219518,22545,Anas acuta,species,Pleistocene,,2.58,0.0117
219520,22545,Phalacrocorax carbo,species,Pleistocene,,2.58,0.0117
219521,22545,Ardea cinerea,species,Pleistocene,,2.58,0.0117
219522,22545,Anser albifrons,species,Pleistocene,,2.58,0.0117
219523,22545,Tadorna ferruginea,species,Pleistocene,,2.58,0.0117
219524,22545,Anas platyrhynchos,species,Pleistocene,,2.58,0.0117
219525,22545,Mareca penelope,species,Pleistocene,,2.58,0.0117
219526,22545,Aythya ferina,species,Pleistocene,,2.58,0.0117
219527,22545,Mergus merganser,species,Pleistocene,,2.58,0.0117
219528,22545,Mergus serrator,species,Pleistocene,,2.58,0.0117
219529,22545,Mergellus albellus,species,Pleistocene,,2.58,0.0117
219530,22545,Numenius,genus,Pleistocene,,2.58,0.0117
219531,22545,Anas crecca,species,Pleistocene,,2.58,0.0117
219532,22545,Branta,genus,Pleistocene,,2.58,0.0117
219737,22592,Struthio,genus,Late Pliocene,,3.6,2.58
219767,22593,Struthio,genus,Gelasian,,2.58,1.8
219790,22595,Struthio,genus,Gelasian,,2.58,1.8
219861,22627,Struthio,genus,Calabrian,,1.8,0.774
219881,22628,Struthio,genus,Calabrian,,1.8,0.774
219923,22637,Megaloolithus jabalpurensis,species,Early Campanian,Middle Campanian,83.6,72.2
219925,22638,Ceratopsidae,family,Late Maastrichtian,,72.2,66.0
219926,22638,Hadrosauridae,family,Late Maastrichtian,,72.2,66.0
219927,22638,Saurischia,unranked clade,Late Maastrichtian,,72.2,66.0
219931,22638,Pachycephalosauridae,family,Late Maastrichtian,,72.2,66.0
219935,22640,Ceratopsidae,family,Late Campanian,,83.6,72.2
219965,22645,Iguanodon bernissartensis,species,Barremian,Early Aptian,125.77,119.57
219971,22648,Diplodocus longus,species,Kimmeridgian,Tithonian,154.8,143.1
219972,22648,Camarasaurus,genus,Kimmeridgian,Tithonian,154.8,143.1
219973,22648,Stegosaurus stenops,species,Kimmeridgian,Tithonian,154.8,143.1
219974,22648,Brontosaurus excelsus,species,Kimmeridgian,Tithonian,154.8,143.1
219975,22648,Allosaurus fragilis,species,Kimmeridgian,Tithonian,154.8,143.1
219978,22650,Diplodocidae,unranked clade,Late Kimmeridgian,,152.21,149.2
219979,22650,Apatosaurinae,subfamily,Late Kimmeridgian,,152.21,149.2
219980,22650,Camarasaurus lentus,species,Late Kimmeridgian,,152.21,149.2
219990,22652,Prosaurolophus maximus,species,Late Campanian,,83.6,72.2
219991,22652,Saurischia,unranked clade,Late Campanian,,83.6,72.2
219992,22653,Maiasaura peeblesorum,species,Middle Campanian,,83.6,72.2
219993,22653,Orodromeus makelai,species,Middle Campanian,,83.6,72.2
219994,22653,Theropoda,unranked clade,Middle Campanian,,83.6,72.2
219997,22654,Hadrosauridae,family,Late Campanian,,83.6,72.2
219998,22654,Tyrannosauridae,family,Late Campanian,,83.6,72.2
219999,22654,Ornithomimidae,family,Late Campanian,,83.6,72.2
220000,22654,Nodosaurus,genus,Late Campanian,,83.6,72.2
220001,22654,Ornithischia,unranked clade,Late Campanian,,83.6,72.2
220003,22656,Hadrosauridae,family,Late Campanian,,83.6,72.2
220004,22656,Chasmosaurus,genus,Late Campanian,,83.6,72.2
220008,22657,Hadrosauridae,family,Late Campanian,,83.6,72.2
220009,22657,Tyrannosaurus rex,species,Late Campanian,,83.6,72.2
220010,22657,Centrosaurus apertus,species,Late Campanian,,83.6,72.2
220011,22657,Velociraptor,genus,Late Campanian,,83.6,72.2
220012,22657,Nodosauridae,family,Late Campanian,,83.6,72.2
220027,22659,Chasmosaurus,genus,Late Campanian,,83.6,72.2
220028,22659,Gorgosaurus libratus,species,Late Campanian,,83.6,72.2
220029,22659,Tyrannosauridae,family,Late Campanian,,83.6,72.2
220030,22660,Aves,class,Pliocene,,5.333,2.58
220033,22663,Megapnosaurus rhodesiensis,species,Hettangian,Sinemurian,201.4,192.9
220038,22665,Kotasaurus yamanpalliensis,species,Sinemurian,Pliensbachian,199.5,184.2
220045,16296,Coraciiformes,order,Bridgerian,,51.1,45.9
220046,16296,Presbyornis,genus,Bridgerian,,51.1,45.9
220047,16296,Strigiformes,order,Bridgerian,,51.1,45.9
220053,17805,Anatidae,family,Harrisonian,,23.1,18.5
220055,22678,Diplodocus,genus,Late Kimmeridgian,Tithonian,152.21,143.1
220056,22678,Camarasaurus,genus,Late Kimmeridgian,Tithonian,152.21,143.1
220057,22678,Stegosaurus,genus,Late Kimmeridgian,Tithonian,152.21,143.1
220058,22678,Allosaurus,genus,Late Kimmeridgian,Tithonian,152.21,143.1
220059,22678,Camptosaurus,genus,Late Kimmeridgian,Tithonian,152.21,143.1
220060,22678,Barosaurus,genus,Late Kimmeridgian,Tithonian,152.21,143.1
220070,22680,Plateosaurus trossingensis,species,Norian,,227.3,205.7
220073,22680,Liliensternus,genus,Norian,,227.3,205.7
220082,22683,Plateosaurus trossingensis,species,Norian,,227.3,205.7
220084,22683,Liliensternus,genus,Norian,,227.3,205.7
220085,22684,Prosauropoda,unranked clade,Rhaetian,,205.7,201.4
220087,22684,Liliensternus,genus,Rhaetian,,205.7,201.4
220090,22685,Velociraptor mongoliensis,species,Late Campanian,,83.6,72.2
220091,22685,Protoceratops andrewsi,species,Late Campanian,,83.6,72.2
220095,22687,Hypsilophodon foxii,species,Barremian,,125.77,121.4
220096,22689,Prosaurolophus maximus,species,Late Campanian,,83.6,72.2
220097,22689,Hypacrosaurus stebingeri,species,Late Campanian,,83.6,72.2
220098,22689,Gryposaurus,genus,Late Campanian,,83.6,72.2
220099,22689,Troodon formosus,species,Late Campanian,,83.6,72.2
220100,22689,Daspletosaurus horneri,species,Late Campanian,,83.6,72.2
220108,22691,Theropoda,unranked clade,Middle Campanian,,83.6,72.2
220109,22691,Maiasaura peeblesorum,species,Middle Campanian,,83.6,72.2
220112,22692,Theropoda,unranked clade,Late Campanian,,83.6,72.2
220113,22692,Ankylosauridae,family,Late Campanian,,83.6,72.2
220114,22693,Theropoda,unranked clade,Late Campanian,,83.6,72.2
220116,22695,Hadrosauridae,family,Late Campanian,,83.6,72.2
220119,22696,Hadrosauridae,family,Late Campanian,,83.6,72.2
220124,22699,Pachyrhinosaurus lakustai,species,Late Campanian,,83.6,72.2
220125,22700,Ornithischia,unranked clade,Late Hauterivian,,132.6,125.77
220135,22703,Aves,class,Aquitanian,Miocene,23.04,5.333
220148,22709,Theropoda,unranked clade,Middle Campanian,Late Campanian,83.6,72.2
220149,22709,Saurolophinae,subfamily,Middle Campanian,Late Campanian,83.6,72.2
220150,22709,Carnosauria,infraorder,Middle Campanian,Late Campanian,83.6,72.2
220162,22711,Allosaurus,genus,Tithonian,,149.2,143.1
220163,22711,Diplodocus,genus,Tithonian,,149.2,143.1
220164,22711,Stegosaurus,genus,Tithonian,,149.2,143.1
220165,22711,Dryosaurus,genus,Tithonian,,149.2,143.1
220166,22711,Camptosaurus,genus,Tithonian,,149.2,143.1
220190,22713,Convolosaurus marri,species,Late Aptian,,119.57,113.2
220191,22713,Dromaeosaurinae,subfamily,Late Aptian,,119.57,113.2
220199,22717,Saurischia,unranked clade,Kimmeridgian,Tithonian,154.8,143.1
220200,22717,Allosauridae,family,Kimmeridgian,Tithonian,154.8,143.1
220201,22717,Diplodocidae,unranked clade,Kimmeridgian,Tithonian,154.8,143.1
220226,22727,Iguanodon bernissartensis,species,Late Barremian,Early Aptian,125.77,119.57
220227,22727,Mantellisaurus atherfieldensis,species,Late Barremian,Early Aptian,125.77,119.57
220228,22727,Iguanodon bernissartensis,species,Late Barremian,Early Aptian,125.77,119.57
220247,22731,Hesperornithiformes,order,Middle Cenomanian,,100.5,93.9
220299,21340,Struthio,genus,Serravallian,,13.82,11.63
220300,21340,Accipitridae,family,Serravallian,,13.82,11.63
220458,21872,Accipitridae,family,Pleistocene,Holocene,2.58,0.0
220461,21872,Struthio camelus,species,Pleistocene,Holocene,2.58,0.0
220495,21882,Aves,class,Holocene,,0.0117,0.0
220507,21883,Aves,class,Pleistocene,Holocene,2.58,0.0
220818,21931,Aves,class,Pleistocene,,2.58,0.0117
220829,21931,Struthio camelus,species,Pleistocene,,2.58,0.0117
220997,21950,Struthio camelus,species,Pleistocene,Holocene,2.58,0.0
221077,22333,Francolinus,genus,Late Pliocene,Pleistocene,3.6,0.0117
221080,22333,Aves,class,Late Pliocene,Pleistocene,3.6,0.0117
221094,22333,Anthus,genus,Late Pliocene,Pleistocene,3.6,0.0117
221102,22333,Coturnix,genus,Late Pliocene,Pleistocene,3.6,0.0117
221103,22333,Turnix,genus,Late Pliocene,Pleistocene,3.6,0.0117
221104,22333,Passer,genus,Late Pliocene,Pleistocene,3.6,0.0117
221105,22333,Ploceus,genus,Late Pliocene,Pleistocene,3.6,0.0117
221106,22333,Agapornis,genus,Late Pliocene,Pleistocene,3.6,0.0117
