taxon_no,accepted_name,accepted_rank,parent_no,is_extant,n_occs
64030,Allosaurus fragilis,species,38590,extinct,29
67566,Allosaurus fragilis,species,38590,extinct,29
68137,Allosaurus fragilis,species,38590,extinct,29
52970,Allosaurus fragilis,species,38590,extinct,29
57232,Allosaurus fragilis,species,38590,extinct,29
52953,Allosaurus fragilis,species,38590,extinct,29
57591,Allosaurus fragilis,species,38590,extinct,29
57231,Allosaurus,genus,64112,extinct,147
94354,Allosaurus europaeus,species,38590,extinct,2
52976,Allosaurus,genus,64112,extinct,147
80774,Labrosaurus sulcatus,species,38590,extinct,0
157544,Allosaurus jimmadseni,species,38590,extinct,7
52971,Allosaurus,genus,64112,extinct,147
502841,Allosaurus anax,species,38590,extinct,1
52904,Allosaurus,genus,64112,extinct,147
486237,Allosaurus amplus,species,38590,extinct,1
52954,Allosaurus,genus,64112,extinct,147
311428,Allosaurus lucasi,species,38590,extinct,1
235341,Metriacanthosauridae,family,64112,extinct,22
38579,Erectopus,genus,235341,extinct,8
67941,Erectopus sauvagei,species,38579,extinct,3
66982,Erectopus superbus,species,38579,extinct,5
38594,Yangchuanosaurus,genus,235341,extinct,4
54826,Yangchuanosaurus shangyouensis,species,38594,extinct,2
54825,Yangchuanosaurus shangyouensis,species,38594,extinct,2
235337,Yangchuanosaurus zigongensis,species,38594,extinct,1
496614,Alpkarakush,genus,235341,extinct,1
496615,Alpkarakush kyrgyzicus,species,496614,extinct,1
67931,Metriacanthosaurinae,subfamily,235341,extinct,4
54820,Sinraptor,genus,67931,extinct,2
54821,Sinraptor dongi,species,54820,extinct,1
54824,Sinraptor hepingensis,species,54820,extinct,1
56420,Siamotyrannus,genus,67931,extinct,1
56421,Siamotyrannus isanensis,species,56420,extinct,1
38584,Metriacanthosaurus,genus,67931,extinct,1
67739,Metriacanthosaurus parkeri,species,38584,extinct,1
54822,Metriacanthosauridae,family,64112,extinct,22
143653,Shidaisaurus,genus,235341,extinct,1
143654,Shidaisaurus jinae,species,143653,extinct,1
38568,Tetanurae,unranked clade,53374,extinct,1
56582,Tetanurae,unranked clade,38568,extinct,1
55483,Avetheropoda,order,53374,extant,167
