taxon_no,accepted_name,accepted_rank,parent_no,is_extant,n_occs
91968,Dinosauria,unranked clade,53207,extant,37692
155998,Lagunculapes,genus,52775,extinct,1
155999,Lagunculapes latus,species,155998,extinct,1
156000,Xiphopeza,genus,52775,extinct,3
156001,Xiphopeza triplex,species,156000,extinct,3
358782,Megalosauridae,unranked clade,52775,extinct,16
66823,Tretospondylia,family,52775,,0
67919,Herreravia,superorder,52775,extinct,0
91056,Dinosauria,unranked clade,52775,extinct,1
91057,Yunnanpus huangcaoensis,species,91056,extinct,1
437789,Dongyangoolithidae,family,52775,extinct,3
437790,Multifissoolithus,genus,437789,extinct,3
467465,Multifissoolithus megadermus,species,437790,extinct,1
467468,Multifissoolithus shimonosekiensis,species,437790,extinct,1
437791,Multifissoolithus chianensis,species,437790,extinct,1
142687,Dongyangoolithus,genus,437789,extinct,0
142704,Dongyangoolithus nanmaensis,species,142687,extinct,0
310482,Phytophagi,unranked clade,52775,extinct,0
67913,Paleodinosauria,superorder,52775,extinct,0
38506,Staurikosauria,order,67913,extinct,0
155969,Plectropterna,genus,52775,extinct,27
156091,Plectropterna lineans,species,155969,extinct,4
156089,Plectropterna minitans,species,155969,extinct,10
155977,Plectropterna angusta,species,155969,extinct,2
155979,Plectropterna elegans,species,155969,extinct,2
156090,Plectropterna gracilis,species,155969,extinct,6
155975,Plectropterna,genus,52775,extinct,27
91969,Saurischia,unranked clade,52775,extant,29078
91972,Sauropodomorpha,unranked clade,38505,extinct,4157
378958,Unaysauridae,unranked clade,38633,extinct,4
243276,Jaklapallisaurus,genus,378958,extinct,2
243277,Jaklapallisaurus asymmetrica,species,243276,extinct,2
378959,Macrocollum,genus,378958,extinct,2
378960,Macrocollum itaquii,species,378959,extinct,2
66572,Guaibasauridae,family,38633,extinct,5
53364,Agnosphitys,genus,66572,extinct,1
53365,Agnosphitys cromhallensis,species,53364,extinct,1
258858,Saturnaliinae,subfamily,66572,extinct,0
66570,Guaibasaurus,genus,66572,extinct,3
66571,Guaibasaurus candelariensis,species,66570,extinct,2
64391,Efraasia,genus,38633,extinct,5
91403,Efraasia minor,species,64391,extinct,5
64393,Efraasia minor,species,64391,extinct,5
57411,Efraasia minor,species,64391,extinct,5
404561,Melanorosauria,infraorder,38633,extinct,0
131584,Eosauropus,genus,38633,extinct,20
131585,Eosauropus cimarronensis,species,131584,extinct,4
131328,Navahopodidae,family,38633,extinct,0
174084,Sauropodomorpha,unranked clade,38633,extinct,1
174085,Sauropodomorpha,unranked clade,174084,extinct,1
347521,Buriolestes,genus,38633,extinct,1
347522,Buriolestes schultzi,species,347521,extinct,1
353512,Liujianpus,genus,38633,extinct,1
353513,Liujianpus shunan,species,353512,extinct,1
54157,Plateosauridae,family,38633,extinct,72
38639,Coloradia,genus,54157,extinct,0
57420,Plateosauridae,family,38633,extinct,72
56593,Plateosauravus,genus,54157,extinct,2
56592,Plateosauravus cullingworthi,species,56593,extinct,2
67772,Navahopus,genus,54157,extinct,4
67773,Navahopus falcipollex,species,67772,extinct,1
131329,Navahopus coyoteensis,species,67772,extinct,1
173567,Xixiposaurus,genus,54157,extinct,1
173568,Xixiposaurus suni,species,173567,extinct,1
62958,Unaysaurus,genus,54157,extinct,1
62959,Unaysaurus tolentinoi,species,62958,extinct,1
57460,Plateosauridae,family,38633,extinct,72
443778,Issi,genus,54157,extinct,1
443779,Issi saaneq,species,443778,extinct,1
65099,Ruehleia,genus,54157,extinct,1
65100,Ruehleia bedheimensis,species,65099,extinct,1
38644,Plateosaurus,genus,54157,extinct,36
65084,Plateosaurus ingens,species,38644,extinct,0
66538,Plateosaurus,genus,54157,extinct,36
57401,Plateosaurus,genus,38644,extinct,2
57400,Plateosaurus,genus,38644,extinct,1
57418,Plateosaurus elizae,species,38644,extinct,1
38645,Plateosaurus,genus,54157,extinct,36
56683,Plateosaurus engelhardti,species,38644,extinct,4
57402,Plateosaurus erlenbergiensis,species,38644,extinct,1
56596,Plateosaurus gracilis,species,38644,extinct,5
64685,Plateosaurus gracilis,species,38644,extinct,5
64679,Plateosaurus trossingensis,species,38644,extinct,4
64684,Plateosaurus longiceps,species,38644,extinct,2
64680,Plateosaurus longiceps,species,38644,extinct,2
65096,Plateosaurus longiceps,species,38644,extinct,2
66746,Saturnaliidae,subfamily,38633,extinct,9
142533,Panphagia,genus,66746,extinct,1
142534,Panphagia protos,species,142533,extinct,1
242719,Chromogisaurus,genus,66746,extinct,1
242722,Chromogisaurus novasi,species,242719,extinct,1
243372,Pampadromaeus,genus,66746,extinct,3
243373,Pampadromaeus barberenai,species,243372,extinct,2
68123,Saturnalia,genus,66746,extinct,3
68124,Saturnalia tupiniquim,species,68123,extinct,2
155156,Lavinipes,genus,38633,extinct,1
353511,Lavinipes cheminii,species,155156,extinct,1
56590,Sauropodomorpha,unranked clade,38633,extinct,6
117152,Pantydraco,genus,38633,extinct,1
119230,Pantydraco caducus,species,117152,extinct,1
188978,Arcusaurus,genus,38633,extinct,1
188979,Arcusaurus pereirabdalorum,species,188978,extinct,1
181611,Massopoda,unranked clade,38633,extinct,3749
181612,Riojasauridae,unranked clade,181611,extinct,6
56613,Eucnemesaurus,genus,181612,extinct,4
56614,Eucnemesaurus fortis,species,56613,extinct,3
55003,Eucnemesaurus fortis,species,56613,extinct,3
55002,Eucnemesaurus,genus,181612,extinct,4
327194,Eucnemesaurus entaxonis,species,56613,extinct,1
38649,Riojasaurus,genus,181612,extinct,2
56587,Riojasaurus,genus,181612,extinct,2
56585,Riojasaurus incertus,species,38649,extinct,2
56588,Riojasaurus incertus,species,38649,extinct,2
56621,Massospondylidae,family,181611,extinct,121
117149,Glacialisaurus,genus,56621,extinct,1
117150,Glacialisaurus hammeri,species,117149,extinct,1
242728,Leyesaurus,genus,56621,extinct,1
242729,Leyesaurus marayensis,species,242728,extinct,1
38641,Lufengosaurus,genus,56621,extinct,28
64306,Lufengosaurus magnus,species,38641,extinct,11
56597,Lufengosaurus huenei,species,38641,extinct,12
313234,Lufengosaurus changduensis,species,38641,extinct,1
172910,Ignavusaurus,genus,56621,extinct,2
172911,Ignavusaurus rachelis,species,172910,extinct,2
171910,Sarahsaurus,genus,56621,extinct,2
171911,Sarahsaurus aurifontanalis,species,171910,extinct,2
38642,Massospondylus,genus,56621,extinct,80
189828,Massospondylus kaalae,species,38642,extinct,1
68914,Massospondylus hislopi,species,38642,extinct,0
56595,Massospondylus carinatus,species,38642,extinct,11
68583,Coloradisaurus,genus,56621,extinct,2
68584,Coloradisaurus brevis,species,68583,extinct,2
391215,Ngwevu,genus,56621,extinct,1
391216,Ngwevu intloko,species,391215,extinct,1
110385,Pradhania,genus,56621,extinct,1
110386,Pradhania gracilis,species,110385,extinct,1
146361,Adeopapposaurus,genus,56621,extinct,2
146362,Adeopapposaurus mognai,species,146361,extinct,2
38637,Anchisaurus,genus,181611,extinct,5
53019,Anchisaurus,genus,181611,extinct,5
64382,Anchisaurus polyzelus,species,38637,extinct,4
54161,Anchisaurus polyzelus,species,38637,extinct,4
57619,Anchisaurus polyzelus,species,38637,extinct,4
63775,Anchisaurus polyzelus,species,38637,extinct,4
54160,Anchisaurus,genus,181611,extinct,5
174880,Sauropodiformes,unranked clade,181611,extinct,3614
385703,Yizhousaurus,genus,174880,extinct,1
385704,Yizhousaurus sunae,species,385703,extinct,1
377354,Ledumahadi,genus,174880,extinct,1
377355,Ledumahadi mafube,species,377354,extinct,1
64137,Jingshanosaurus,genus,174880,extinct,2
173975,Jingshanosaurus,genus,174880,extinct,2
64138,Jingshanosaurus xinwaensis,species,64137,extinct,2
173976,Jingshanosaurus xinwaensis,species,64137,extinct,2
322707,Sefapanosaurus,genus,174880,extinct,1
322708,Sefapanosaurus zastronensis,species,322707,extinct,1
423007,Irisosaurus,genus,174880,extinct,1
423008,Irisosaurus yimenensis,species,423007,extinct,1
157362,Aardonyx,genus,174880,extinct,1
157363,Aardonyx celestae,species,157362,extinct,1
38643,Mussaurus,genus,174880,extinct,2
66682,Mussaurus patagonicus,species,38643,extinct,2
502297,Lishulong,genus,174880,extinct,1
502299,Lishulong wangi,species,502297,extinct,1
423027,Schleitheimia,genus,174880,extinct,1
423028,Schleitheimia schutzi,species,423027,extinct,1
175491,Leonerasaurus,genus,174880,extinct,1
175492,Leonerasaurus taquetrensis,species,175491,extinct,1
38648,Melanorosaurus,genus,174880,extinct,9
54980,Melanorosaurus readi,species,38648,extinct,3
457676,Melanorosaurus,genus,38648,extinct,0
362058,Melanorosaurus,genus,38648,extinct,0
165044,Seitaad,genus,174880,extinct,1
165045,Seitaad ruessi,species,165044,extinct,1
38647,Camelotia,genus,174880,extinct,2
56586,Camelotia borealis,species,38647,extinct,1
56630,Yunnanosaurus,genus,174880,extinct,17
64403,Yunnanosaurus robustus,species,56630,extinct,5
106244,Yunnanosaurus youngi,species,56630,extinct,1
56629,Yunnanosaurus huangi,species,56630,extinct,7
95571,Sauropoda,unranked clade,174880,extinct,3566
54167,Morosauridae,family,38653,extinct,0
64560,Sauropoda,unranked clade,38653,extinct,6
313242,Oshanosaurus,genus,38653,extinct,0
313243,Oshanosaurus youngi,species,313242,extinct,0
133909,Gravisauria,unranked clade,38653,extinct,2049
38655,Amygdalodon,genus,133909,extinct,1
66447,Amygdalodon patagonicus,species,38655,extinct,1
68535,Tazoudasaurus,genus,133909,extinct,2
68536,Tazoudasaurus naimi,species,68535,extinct,2
57437,Eusauropoda,unranked clade,133909,extinct,2009
57439,Neosauropoda,unranked clade,57437,extinct,1803
319106,Diplodocoidea,unranked clade,57439,extinct,415
53180,Amphicoelias,genus,57362,extinct,3
231023,Amphicoelias brontodiplodocus,species,53180,extinct,1
53181,Amphicoelias altus,species,53180,extinct,1
140519,Diplodocoidea,unranked clade,57439,extinct,415
38658,Haplocanthosaurus,genus,57362,extinct,11
57369,Haplocanthosaurus,genus,57362,extinct,11
66582,Haplocanthosaurus delfsi,species,38658,extinct,1
64504,Haplocanthosaurus priscus,species,38658,extinct,2
64503,Haplocanthosaurus priscus,species,38658,extinct,2
63872,Diplodocimorpha,unranked clade,57362,extinct,393
381047,Rebbachisauridae,unranked clade,63872,extinct,76
68179,Histriasaurus,genus,57365,extinct,1
68180,Histriasaurus boscarollii,species,68179,extinct,1
111394,Xenoposeidon,genus,57365,extinct,1
111395,Xenoposeidon proneneukos,species,111394,extinct,1
481295,Sidersaura,genus,57365,extinct,2
481296,Sidersaura marae,species,481295,extinct,2
89456,Zapalasaurus,genus,57365,extinct,1
89457,Zapalasaurus bonapartei,species,89456,extinct,1
378233,Maraapunisaurus,genus,57365,extinct,1
378234,Maraapunisaurus fragillimus,species,378233,extinct,1
496269,Campananeyen,genus,57365,extinct,1
496270,Campananeyen fragilissimus,species,496269,extinct,1
57368,Rayososaurus,genus,57365,extinct,1
71351,Rayososaurus agrioensis,species,57368,extinct,1
89458,Amazonsaurus,genus,57365,extinct,1
89459,Amazonsaurus maranhensis,species,89458,extinct,1
515930,Astigmasaura,genus,57365,extinct,1
515931,Astigmasaura genuflexa,species,515930,extinct,1
251279,Comahuesaurus,genus,57365,extinct,1
251280,Comahuesaurus windhauseni,species,251279,extinct,1
66565,Agustinia,genus,57365,extinct,1
66567,Agustinia ligabuei,species,66565,extinct,1
282473,Katepensaurus,genus,57365,extinct,1
282474,Katepensaurus goicoecheai,species,282473,extinct,1
378458,Lavocatisaurus,genus,57365,extinct,1
378459,Lavocatisaurus agrioensis,species,378458,extinct,1
507183,Cienciargentina,genus,57365,extinct,1
507184,Cienciargentina sanchezi,species,507183,extinct,1
322720,Khebbashia,unranked clade,57365,extinct,45
243718,Limaysaurinae,unranked clade,322720,extinct,9
63871,Limaysaurus,genus,243718,extinct,6
63874,Limaysaurus tessonei,species,63871,extinct,6
89494,Cathartesaura,genus,243718,extinct,1
89495,Cathartesaura anaerobica,species,89494,extinct,1
230971,Nigersaurinae,unranked clade,322720,extinct,1
322714,Rebbachisaurinae,unranked clade,322720,extinct,34
57366,Nigersaurus,genus,322714,extinct,3
57367,Nigersaurus taqueti,species,57366,extinct,3
273396,Tataouinea,genus,322714,extinct,1
273397,Tataouinea hannibalis,species,273396,extinct,1
38679,Rebbachisaurus,genus,322714,extinct,5
65368,Rebbachisaurus garasbae,species,38679,extinct,4
202269,Demandasaurus,genus,322714,extinct,2
202270,Demandasaurus darwini,species,202269,extinct,2
63792,Rebbachisaurinae,unranked clade,322714,extinct,21
390654,Itapeuasaurus,genus,322714,extinct,1
390655,Itapeuasaurus cajapioensis,species,390654,extinct,1
140520,Nopcsaspondylus,genus,322720,extinct,1
140521,Nopcsaspondylus alarconensis,species,140520,extinct,1
57361,Flagellicaudata,unranked clade,63872,extinct,316
38667,Cetiosauriscus,genus,57361,extinct,1
67741,Cetiosauriscus stewarti,species,38667,extinct,1
319108,Diplodocidae,unranked clade,57361,extinct,271
66543,Apatosaurinae,subfamily,38664,extinct,95
52966,Apatosaurinae,subfamily,66543,extinct,1
52983,Brontosaurus,genus,66543,extinct,23
66539,Brontosaurus,genus,66543,extinct,23
52982,Brontosaurus excelsus,species,52983,extinct,13
52991,Brontosaurus excelsus,species,52983,extinct,13
319100,Brontosaurus parvus,species,52983,extinct,4
319105,Brontosaurus yahnahpin,species,52983,extinct,3
441116,Brontosaurus,genus,52983,extinct,1
66833,Brontosaurus,genus,66543,extinct,23
38665,Apatosaurus,genus,66543,extinct,67
77217,Apatosaurus,genus,66543,extinct,67
57752,Apatosaurus louisae,species,38665,extinct,5
52974,Apatosaurus louisae,species,38665,extinct,5
52958,Apatosaurus ajax,species,38665,extinct,3
319099,Diplodocinae,unranked clade,38664,extinct,138
38669,Diplodocus,genus,65916,extinct,66
66614,Diplodocus,genus,65916,extinct,66
52920,Diplodocus longus,species,38669,extinct,5
65917,Diplodocus carnegii,species,38669,extinct,4
104974,Diplodocus hallorum,species,38669,extinct,3
38666,Barosaurus,genus,65916,extinct,19
54166,Barosaurus lentus,species,38666,extinct,3
92310,Barosaurus,genus,38666,extinct,0
57456,Barosaurus,genus,65916,extinct,19
65361,Dinheirosaurus,genus,65916,extinct,1
65362,Dinheirosaurus lourinhanensis,species,65361,extinct,1
319102,Galeamopus,genus,65916,extinct,6
319103,Galeamopus hayi,species,319102,extinct,2
352582,Galeamopus pabsti,species,319102,extinct,3
38695,Tornieria,genus,65916,extinct,7
64727,Tornieria africana,species,38695,extinct,6
517883,Barosaurus africanus gracilis,subspecies,64726,extinct,0
295114,Leinkupal,genus,65916,extinct,1
295115,Leinkupal laticauda,species,295114,extinct,1
498483,Ardetosaurus,genus,65916,extinct,1
498484,Ardetosaurus viator,species,498483,extinct,1
56456,Supersaurus,genus,65916,extinct,5
56455,Supersaurus vivianae,species,56456,extinct,4
63786,Supersaurus vivianae,species,56456,extinct,4
56453,Supersaurus vivianae,species,56456,extinct,4
63785,Supersaurus,genus,65916,extinct,5
56454,Supersaurus,genus,65916,extinct,5
56450,Supersaurus,genus,65916,extinct,5
374083,Lingwulong,genus,57361,extinct,1
374084,Lingwulong shenqi,species,374083,extinct,1
319107,Dicraeosauridae,unranked clade,57361,extinct,36
515983,Athenar,genus,53961,extinct,1
515984,Athenar bermani,species,515983,extinct,1
140517,Amargatitanis,genus,53961,extinct,1
140518,Amargatitanis macni,species,140517,extinct,1
57363,Suuwassea,genus,53961,extinct,2
57364,Suuwassea emilieae,species,57363,extinct,1
157545,Dyslocosaurus,genus,53961,extinct,1
157546,Dyslocosaurus polyonychius,species,157545,extinct,1
375508,Pilmatueia,genus,53961,extinct,1
375509,Pilmatueia faundezi,species,375508,extinct,1
516142,Dicraeosaurinae,unranked clade,53961,extinct,24
38668,Dicraeosaurus,genus,57351,extinct,19
65942,Dicraeosaurus sattleri,species,38668,extinct,12
65941,Dicraeosaurus hansemanni,species,38668,extinct,5
381349,Bajadasaurus,genus,57351,extinct,1
381350,Bajadasaurus pronuspinax,species,381349,extinct,1
66114,Brachytrachelopan,genus,57351,extinct,1
66115,Brachytrachelopan mesai,species,66114,extinct,1
53960,Amargasaurus,genus,57351,extinct,2
53962,Amargasaurus cazaui,species,53960,extinct,2
362056,Amargasaurus cazaui,species,53960,extinct,2
253018,Kaatedocus,genus,53961,extinct,1
253020,Kaatedocus siberi,species,253018,extinct,1
431632,Smitanosaurus,genus,53961,extinct,1
431633,Smitanosaurus agilis,species,431632,extinct,1
57629,Flagellicaudata,unranked clade,57361,extinct,1
38676,Neosauropoda,unranked clade,57439,extinct,0
134959,Neosauropoda,unranked clade,57439,extinct,0
64408,Neosauropoda,unranked clade,57439,extinct,0
66826,Neosauropoda,unranked clade,57439,extinct,1
353501,Oobardjidama,genus,57439,extinct,1
353502,Oobardjidama foulkesi,species,353501,extinct,1
57438,Macronaria,unranked clade,57439,extinct,1350
66912,Macronaria,unranked clade,57438,extinct,1
52799,Macronaria,unranked clade,57438,extinct,0
57468,Titanosauriformes,unranked clade,57438,extinct,1150
377178,Liaoningotitan,genus,57468,extinct,1
377179,Liaoningotitan sinensis,species,377178,extinct,1
202263,Fukuititan,genus,57468,extinct,1
202264,Fukuititan nipponensis,species,202263,extinct,1
64328,Titanosauriformes,unranked clade,57468,extinct,0
64330,Iuticosaurus lydekkeri,species,64328,extinct,0
38673,Brachiosauridae,family,57468,extinct,93
163941,Abydosaurus,genus,38673,extinct,1
163942,Abydosaurus mcintoshi,species,163941,extinct,1
54867,Euhelopodinae,subfamily,38673,extinct,0
92307,Giraffatitan,genus,38673,extinct,42
153878,Brachiosaurus (Giraffatitan) brancai,species,67847,extinct,0
92308,Giraffatitan brancai,species,67847,extinct,42
64502,Giraffatitan brancai,species,67847,extinct,42
58876,Brachiosaurinae,subfamily,38673,extinct,0
68169,Sonorasaurus,genus,38673,extinct,1
68170,Sonorasaurus thompsoni,species,68169,extinct,1
65343,Lusotitan,genus,38673,extinct,1
65350,Lusotitan atalaiensis,species,65343,extinct,1
38677,Brachiosaurus,genus,38673,extinct,20
67848,Brachiosaurus (Brachiosaurus),subgenus,38677,extinct,0
54864,Brachiosaurus altithorax,species,38677,extinct,2
66625,Klamelisaurinae,subfamily,38673,extinct,0
81693,Galvesaurus,genus,38673,extinct,1
81694,Galvesaurus herreroi,species,81693,extinct,1
67716,Galvesaurus herreroi,species,81693,extinct,1
67004,Brachiosauridae,family,38673,extinct,1
66542,Camarasaurinae,subfamily,38673,extinct,0
359457,Soriatitan,genus,38673,extinct,1
359458,Soriatitan golmayensis,species,359457,extinct,1
52893,Bellusaurinae,subfamily,38673,extinct,0
53011,Brachiosauridae,family,57468,extinct,93
64905,Cedarosaurus,genus,38673,extinct,3
64906,Cedarosaurus weiskopfae,species,64905,extinct,3
66515,Venenosaurus,genus,38673,extinct,1
66516,Venenosaurus dicrocei,species,66515,extinct,1
63793,Brachiosauridae,family,57468,extinct,93
352537,Vouivria,genus,38673,extinct,1
352538,Vouivria damparisensis,species,352537,extinct,1
66514,Somphospondyli,unranked clade,57468,extinct,916
477081,Jiangxititan,genus,66514,extinct,1
477082,Jiangxititan ganzhouensis,species,477081,extinct,1
163871,Somphospondyli,unranked clade,66514,extinct,0
55585,Titanosauria,unranked clade,66514,extinct,794
202260,Dongyangosaurus,genus,55585,extinct,1
202262,Dongyangosaurus sinensis,species,202260,extinct,1
517595,Yeneen,genus,55585,extinct,1
517596,Yeneen houssayi,species,517595,extinct,1
491178,Tiamat,genus,55585,extinct,1
491179,Tiamat valdecii,species,491178,extinct,1
58924,Eutitanosauria,unranked clade,55585,extinct,47
66645,Argentinosaurus,genus,58924,extinct,1
66646,Argentinosaurus huinculensis,species,66645,extinct,1
505033,Petrustitan,genus,58924,extinct,3
505035,Petrustitan hungaricus,species,505033,extinct,3
373264,Lirainosaurinae,unranked clade,58924,extinct,17
65139,Ampelosaurus,genus,373264,extinct,5
65140,Ampelosaurus atacis,species,65139,extinct,4
169824,Atsinganosaurus,genus,373264,extinct,1
169825,Atsinganosaurus velauciensis,species,169824,extinct,1
65826,Lirainosaurus,genus,373264,extinct,10
65827,Lirainosaurus astibiae,species,65826,extinct,9
430752,Garrigatitan,genus,373264,extinct,1
430753,Garrigatitan meridionalis,species,430752,extinct,1
280184,Normanniasaurus,genus,58924,extinct,2
280185,Normanniasaurus genceyi,species,280184,extinct,2
358623,Patagotitan,genus,58924,extinct,1
358624,Patagotitan mayorum,species,358623,extinct,1
304823,Dreadnoughtus,genus,58924,extinct,2
304824,Dreadnoughtus schrani,species,304823,extinct,2
345958,Lohuecotitan,genus,58924,extinct,1
345959,Lohuecotitan pandafilandi,species,345958,extinct,1
197174,Paludititan,genus,58924,extinct,2
197175,Paludititan nalatzensis,species,197174,extinct,1
442426,Menucocelsior,genus,58924,extinct,2
442427,Menucocelsior arriagadai,species,442426,extinct,1
58912,Bonitasaura,genus,58924,extinct,2
58913,Bonitasaura salgadoi,species,58912,extinct,1
478763,Inawentu,genus,58924,extinct,1
478764,Inawentu oslatus,species,478763,extinct,1
52883,Magyarosaurus,genus,58924,extinct,11
64332,Magyarosaurus dacus,species,52883,extinct,7
64334,Magyarosaurus dacus,species,52883,extinct,7
407882,Abdarainurus,genus,55585,extinct,1
407883,Abdarainurus barsboldi,species,407882,extinct,1
38694,Titanosauria,unranked clade,55585,extinct,25
64324,Titanosauria,unranked clade,38694,extinct,5
56941,Titanosauria,unranked clade,38694,extinct,1
64310,Titanosaurus blanfordi,species,38694,extinct,2
58858,Titanosauria,unranked clade,38694,extinct,4
64318,Titanosauria,unranked clade,38694,extinct,1
38686,Argyrosaurus,genus,55585,extinct,1
66267,Argyrosaurus superbus,species,38686,extinct,1
197544,Malakhelisaurus,genus,55585,extinct,1
197545,Malakhelisaurus mianwali,species,197544,extinct,1
71974,Lithostrotia,unranked clade,55585,extinct,192
379367,Volgatitan,genus,71974,extinct,1
379370,Volgatitan simbirskiensis,species,379367,extinct,1
455537,Saltasauroidea,superfamily,71974,extinct,93
57532,Rapetosaurus,genus,455537,extinct,5
57533,Rapetosaurus krausei,species,57532,extinct,5
488851,Titanomachya,genus,455537,extinct,1
488852,Titanomachya gimenezi,species,488851,extinct,1
64313,Isisaurus,genus,455537,extinct,7
64312,Isisaurus colberti,species,64313,extinct,4
176783,Tapuiasaurus,genus,455537,extinct,1
176784,Tapuiasaurus macedoi,species,176783,extinct,1
488757,Udelartitan,genus,455537,extinct,1
488758,Udelartitan celeste,species,488757,extinct,1
498066,Lohuecosauria,unranked clade,455537,extinct,78
455539,Saltasauridae,unranked clade,498066,extinct,78
474890,Igai,genus,64335,extinct,1
474895,Igai semkhu,species,474890,extinct,1
450821,Abditosaurus,genus,64335,extinct,2
450822,Abditosaurus kuehnei,species,450821,extinct,2
58923,Opisthocoelicaudiinae,subfamily,64335,extinct,1
38698,Opisthocoelicaudia,genus,58923,extinct,1
57335,Opisthocoelicaudia skarzynskii,species,38698,extinct,1
133088,Qingxiusaurus,genus,64335,extinct,1
133089,Qingxiusaurus youjiangensis,species,133088,extinct,1
498067,Qunkasaura,genus,64335,extinct,1
498068,Qunkasaura pintiquiniestra,species,498067,extinct,1
58925,Saltasaurinae,subfamily,64335,extinct,66
400333,Yamanasaurus,genus,58925,extinct,1
400334,Yamanasaurus lojaensis,species,400333,extinct,1
38683,Alamosaurus,genus,58925,extinct,38
63399,Alamosaurus sanjuanensis,species,38683,extinct,31
66612,Rocasaurus,genus,58925,extinct,3
66613,Rocasaurus muniozi,species,66612,extinct,2
65534,Bonatitan,genus,58925,extinct,1
65535,Bonatitan reigi,species,65534,extinct,1
461989,Ibirania,genus,58925,extinct,3
461990,Ibirania parva,species,461989,extinct,3
304099,Saltasaurini,tribe,58925,extinct,18
38693,Saltasaurus,genus,304099,extinct,1
58838,Saltasaurus loricatus,species,38693,extinct,1
64317,Neuquensaurus,genus,304099,extinct,14
38691,Neuquensaurus,genus,304099,extinct,14
38707,Neuquensaurus,genus,304099,extinct,14
66263,Neuquensaurus,genus,64317,extinct,1
64321,Neuquensaurus,genus,64317,extinct,3
64315,Neuquensaurus australis,species,64317,extinct,7
363788,Neuquensaurus australis,species,64317,extinct,7
371019,Zhuchengtitan,genus,64335,extinct,1
371020,Zhuchengtitan zangjiazhuangensis,species,371019,extinct,1
437523,Nicksaurus,genus,64335,extinct,1
437524,Nicksaurus razashahi,species,437523,extinct,1
505037,Uriash,genus,71974,extinct,1
505040,Uriash kadici,species,505037,extinct,1
359110,Shingopana,genus,71974,extinct,1
359111,Shingopana songwensis,species,359110,extinct,1
100436,Aeolosaurini,unranked clade,71974,extinct,19
66573,Gondwanatitan,genus,100436,extinct,2
66574,Gondwanatitan faustoi,species,66573,extinct,1
53964,Aeolosaurus,genus,100436,extinct,6
100435,Aeolosaurus colhuehuapensis,species,53964,extinct,1
58847,Aeolosaurus rionegrinus,species,53964,extinct,1
463610,Caieiria,genus,100436,extinct,1
463611,Caieiria allocaudata,species,463610,extinct,1
85462,Baurutitan,genus,100436,extinct,4
85460,Baurutitan,genus,100436,extinct,4
85463,Baurutitan britoi,species,85462,extinct,4
85461,Baurutitan britoi,species,85462,extinct,4
172032,Panamericansaurus,genus,100436,extinct,1
172033,Panamericansaurus schroederi,species,172032,extinct,1
57455,Malawisaurus,genus,71974,extinct,8
57458,Malawisaurus dixeyi,species,57455,extinct,8
180311,Atacamatitan,genus,71974,extinct,1
180312,Atacamatitan chilensis,species,180311,extinct,1
233928,Elaltitan,genus,71974,extinct,1
233929,Elaltitan lilloi,species,233928,extinct,1
400667,Nullotitan,genus,71974,extinct,3
400668,Nullotitan glaciaris,species,400667,extinct,3
57466,Epachthosaurus,genus,71974,extinct,3
57467,Epachthosaurus sciuttoi,species,57466,extinct,2
294729,Vahiny,genus,71974,extinct,2
294730,Vahiny depereti,species,294729,extinct,2
38685,Antarctosaurus,genus,71974,extinct,7
66265,Antarctosaurus,genus,38685,extinct,1
66266,Antarctosaurus,genus,38685,extinct,1
66264,Antarctosaurus wichmannianus,species,38685,extinct,2
480843,Bustingorrytitan,genus,71974,extinct,1
480844,Bustingorrytitan shiva,species,480843,extinct,1
352583,Tengrisaurus,genus,71974,extinct,1
352584,Tengrisaurus starkovi,species,352583,extinct,1
64373,Paralititan,genus,71974,extinct,2
64374,Paralititan stromeri,species,64373,extinct,1
67559,Lithostrotia,unranked clade,71974,extinct,1
433884,Arackar,genus,71974,extinct,1
433885,Arackar licanantay,species,433884,extinct,1
56411,Nemegtosauridae,family,71974,extinct,9
38672,Quaesitosaurus,genus,56411,extinct,1
66618,Quaesitosaurus orientalis,species,38672,extinct,1
38671,Nemegtosaurus,genus,56411,extinct,3
54841,Nemegtosaurus mongoliensis,species,38671,extinct,1
54842,Nemegtosaurus,genus,38671,extinct,1
66268,Pellegrinisaurus,genus,71974,extinct,1
66269,Pellegrinisaurus powelli,species,66268,extinct,1
384013,Kaijutitan,genus,71974,extinct,1
384014,Kaijutitan maui,species,384013,extinct,1
81766,Jainosaurus,genus,71974,extinct,1
81767,Jainosaurus septentrionalis,species,81766,extinct,1
201030,Petrobrasaurus,genus,55585,extinct,1
201031,Petrobrasaurus puestohernandezi,species,201030,extinct,1
455702,Pseudomegaloolithus,genus,55585,extinct,5
455703,Pseudomegaloolithus atlasi,species,455702,extinct,5
153876,Baotianmansaurus,genus,55585,extinct,1
153877,Baotianmansaurus henanensis,species,153876,extinct,1
84659,Borealosaurus,genus,55585,extinct,1
84660,Borealosaurus wimani,species,84659,extinct,1
433849,Ninjatitan,genus,55585,extinct,1
433850,Ninjatitan zapatai,species,433849,extinct,1
389116,Colossosauria,unranked clade,55585,extinct,27
83419,Puertasaurus,genus,389116,extinct,1
83420,Puertasaurus reuili,species,83419,extinct,1
334673,Notocolossus,genus,389116,extinct,2
334674,Notocolossus gonzalezparejasi,species,334673,extinct,2
